"Building","Strategy","Date","Day"
"ALM","GTR","1/23/2013","Wednesday"
"ALM","GTR","1/25/2013","Friday"
"ALM","GTR","1/29/2013","Tuesday"
"ALM","GTR","1/31/2013","Thursday"
"ALM","GTR","10/22/2013","Tuesday"
"ALM","GTR","10/24/2013","Thursday"
"ALM","GTR","12/2/2013","Monday"
"ALM","GTR","12/4/2013","Wednesday"
"ALM","GTR","12/6/2013","Friday"
"ALM","GTR & VFD","2/26/2013","Tuesday"
"ALM","GTR & VFD","2/28/2013","Thursday"
"ALM","GTR","3/12/2013","Tuesday"
"ALM","GTR","3/14/2013","Thursday"
"ALM","GTR","3/4/2013","Monday"
"ALM","GTR","3/6/2013","Wednesday"
"ALM","GTR","3/8/2013","Friday"
"ALM","VFD","3/18/2013","Monday"
"ALM","VFD","3/20/2013","Wednesday"
"ALM","VFD","3/22/2013","Friday"
"ALM","VFD","3/26/2013","Tuesday"
"ALM","VFD","3/28/2013","Thursday"
"ALM","GTR & VFD","11/11/2013","Monday"
"ALM","GTR & VFD","11/13/2013","Wednesday"
"ALM","GTR & VFD","11/15/2013","Friday"
"ALM","GTR & VFD","11/19/2013","Tuesday"
"ALM","GTR & VFD","11/21/2013","Thursday"
"ALM","GTR & VFD","4/1/2013","Monday"
"ALM","GTR & VFD","4/11/2013","Thursday"
"ALM","GTR & VFD","4/3/2013","Wednesday"
"ALM","GTR & VFD","4/5/2013","Friday"
"ALM","GTR & VFD","4/9/2013","Tuesday"
"ALM","VFD","10/28/2013","Monday"
"ALM","VFD","10/30/2013","Wednesday"
"ALM","VFD","11/1/2013","Friday"
"ALM","VFD","11/5/2013","Tuesday"
"ALM","VFD","11/7/2013","Thursday"
"ALM","VFD","2/12/2013","Tuesday"
"ALM","VFD","2/14/2013","Thursday"
"ALM","VFD","2/4/2013","Monday"
"ALM","VFD","2/6/2013","Wednesday"
"ALM","VFD","2/8/2013","Friday"
"ASC","GTR","3/18/2013","Monday"
"ASC","GTR","3/20/2013","Wednesday"
"ASC","GTR","3/22/2013","Friday"
"ASC","GTR","3/26/2013","Tuesday"
"ASC","GTR","3/28/2013","Thursday"
"ASC","VFD","4/1/2013","Monday"
"ASC","VFD","4/11/2013","Thursday"
"ASC","VFD","4/3/2013","Wednesday"
"ASC","VFD","4/5/2013","Friday"
"ASC","VFD","4/9/2013","Tuesday"
"ASC","DUTY","4/15/2013","Monday"
"ASC","DUTY","4/17/2013","Wednesday"
"ASC","DUTY","4/19/2013","Friday"
"ASC","DUTY","4/23/2013","Tuesday"
