"building","numTestDays","numTrainDays","mapeEV.avgError","mapeEV.avgError.1","mapeEV.avgError.2","mapeEV.avgError.3","mapeEV.avgError.4","mapeEV.avgError.5","mapeEV.avgError.6","mapeEV.avgError.7","mapeEV.avgError.8","mapeEV.avgError.9","mapeEV.avgError.10","mapeEV.avgError.11","mapeEV.avgError.12","mapeEV.avgError.13","mapeEV.avgError.14","mapeEV.avgError.15","mapeEV.avgError.16","mapeEV.avgError.17","mapeEV.avgError.18","mapeEV.avgError.19","mapeEV.avgError.20","mapeEV.avgError.21","mapeEV.avgError.22","mapeEV.avgError.23","mapeEV.avgError.24","mapeEV.avgError.25","mapeEV.avgError.26","mapeEV.avgError.27","mapeEV.avgError.28","mapeEV.avgError.29","mapeEV.avgError.30","mapeEV.avgError.31","mapeEV.avgError.32","mapeEV.avgError.33","mapeEV.avgError.34","mapeEV.avgError.35","mapeEV.avgError.36","mapeEV.avgError.37","mapeEV.avgError.38","mapeEV.avgError.39","mapeEV.avgError.40","mapeEV.avgError.41","mapeEV.avgError.42","mapeEV.avgError.43","mapeEV.avgError.44","mapeEV.avgError.45","mapeEV.avgError.46","mapeEV.avgError.47","mapeEV.avgError.48"
"ALM",14,28,0.340728427807163,0.340728427807163,0.311322371745362,0.30605502781651,0.308302626753234,0.323348200004782,0.326828002157453,0.319222249161171,0.312515972978555,0.314725494216137,0.314164185866926,0.324836758103363,0.321324023542075,0.321986342000269,0.322329945281442,0.316824185301161,0.316170846200346,0.316189625744087,0.314587162410496,0.314439962775982,0.317654054027527,0.317388980012161,0.31755305748599,0.319534103048491,0.319412687686997,0.319328656755763,0.318645163044925,0.318751997585351,0.318494275401223,0.318475389139432,0.318430102166408,0.318282690880391,0.318252577153486,0.317550948851067,0.316957265175832,0.316974090204722,0.316945999998921,0.316167014118611,0.316372339551373,0.316710726153564,0.316406757762195,0.3165022066598,0.315488942052997,0.315203523100804,0.315304213131373,0.315759710098942,0.314721105015669,0.314545314909206,0.314805468560056
"ASC",13,25,8.39373823861531,8.39373823861531,8.39662724128719,8.39566770045636,8.39458401260479,8.41159890273628,8.42576273989104,8.40296066039354,8.40407803245934,8.40414634146298,8.40276710906487,8.40313626702689,8.4086626106152,8.4061132040798,8.40626791522842,8.40691000007513,8.40726158216396,8.40956515831335,8.40945971209679,8.4098868146218,8.41096355624885,8.40438075819519,8.4043445830266,8.40471527249259,8.40439387081888,8.40447554865464,8.40407830731299,8.40412839747385,8.4061049276072,8.40613021357862,8.40615609226239,8.40759440482923,8.40702880195592,8.40704434161047,8.40717377527309,8.40708165143785,8.40686775144328,8.40608180402571,8.40655213096166,8.40640631165396,8.40573956707537,8.40582185254057,8.40608174103143,8.40587442523314,8.4072139565817,8.40706690746733,8.40582014354755,8.40575562420904,8.40606203701476
"BKS",5,10,1.80740119165932,1.80740119165932,1.81300713023803,1.80013052154273,1.79860987980759,1.79419583524287,1.7828237374601,1.77800363756635,1.779516264905,1.77982898103115,1.77972920813059,1.78047165979543,1.7804878444478,1.78085736829091,1.78091855961949,1.78115914912786,1.78130624393818,1.78116826443814,1.78051540517886,1.78078177321565,1.78059800398447,1.78163483514397,1.78098654458292,1.78119848372731,1.78157692517728,1.78157247924137,1.78127978933074,1.78112648675195,1.78236195754295,1.78193332129319,1.7789675626293,1.7792949072609,1.77800885973582,1.77801433398532,1.77792713206163,1.77805162921736,1.7780670656842,1.77832703626764,1.77826689741276,1.77865415644264,1.77823834538231,1.77831772481016,1.77751192903253,1.7761249046272,1.77644177764772,1.77555537203197,1.77564092647705,1.77562678344876,1.77556567388124
"BRI",10,20,0.797648764206829,0.797648764206829,0.796535919194012,0.801349657781831,0.78855825822581,0.789482772253252,0.788667553413146,0.788165044231362,0.783614955008863,0.779838991697838,0.776879886694212,0.776345954776475,0.777562470262584,0.776915617115092,0.774974621293504,0.774563293047567,0.776311880848916,0.775844044437331,0.773979224584102,0.773965032809268,0.774343901918014,0.774131718540807,0.775192395355344,0.775090328960787,0.776070381652955,0.776032469430778,0.775979109046888,0.775382177902179,0.775395610197817,0.775424340646347,0.775447817744317,0.775382230557169,0.775445072589124,0.775214918560338,0.775196724528474,0.775140156245857,0.775236524418581,0.775429544289898,0.775620875827627,0.776259305833082,0.77629267808742,0.776308700747681,0.776295064415857,0.776414694078156,0.776322625740294,0.776475186714012,0.776428294791682,0.775874421046645,0.775921857193599
"DRB",11,21,6.49026233890064,6.49026233890064,6.50055315745233,6.4926120388212,6.46428770331308,6.46375627153894,6.46646057572191,6.46471322070326,6.46355247294581,6.45477621365146,6.45405060693975,6.45280294299213,6.45281447002843,6.45446239464487,6.45380249237724,6.45335865273624,6.45471106565139,6.45453208935199,6.45478894177407,6.45492383114873,6.45518484656987,6.45425163866986,6.45397509786012,6.45445066000898,6.45490641658704,6.4546431557461,6.4532190694121,6.45324639940555,6.45225954285678,6.45087894906702,6.45085277174745,6.45121082862928,6.45108659130956,6.45401583892923,6.4533015984766,6.45225197960737,6.4521503576939,6.45197843491701,6.45167636829855,6.45172378975574,6.45134094748551,6.45177019596329,6.4516064177961,6.45099846247219,6.449042530872,6.44842796751532,6.44834559477934,6.44822228507388,6.44846459025305
"EEB",4,8,8.27984504791513,8.27984504791513,8.33843894687,8.34736281531211,8.34225338579134,8.33540116085928,8.33493167467526,8.33431578151989,8.33398447481256,8.33611280874791,8.33920470995006,8.33915726293583,8.34005612367447,8.33964550106268,8.34025001204512,8.34493631766124,8.34449190212765,8.34376394020915,8.34405063241618,8.34322415643644,8.34189777055575,8.34244170179991,8.34535430531166,8.34576836386553,8.34617067009341,8.34598878646747,8.347575994692,8.34729295870822,8.34688428394067,8.34519172318155,8.34519312281949,8.34335730606481,8.34216844341224,8.3420671387679,8.34165301992117,8.34107159172474,8.33989440733411,8.33993097938119,8.33933109072313,8.33823197147411,8.33826511911568,8.33785872119722,8.33651467280374,8.33641187642814,8.33695363780126,8.33681676399961,8.34159587658931,8.33908914662461,8.33906023229234
"GFS",12,23,2.16130436470039,2.16130436470039,2.18287034488672,2.15751257782225,2.15435418183361,2.15144156586622,2.15493393097216,2.15587076169875,2.14576607805975,2.14669461199501,2.14662154668587,2.14298926788501,2.14303915214808,2.14318473637191,2.13982384758352,2.1398193430227,2.13968794222712,2.13952975661078,2.13850726629886,2.13828498157064,2.13801197778822,2.13864401288274,2.1386165478801,2.1383329016202,2.13742382858572,2.13588797226897,2.1358960577118,2.13577948436529,2.13560970697267,2.13564922764154,2.1357099493003,2.13548423011344,2.13586831212855,2.13588265730807,2.13612994274026,2.13642838467391,2.13639918596141,2.13713722821364,2.13707226052896,2.13702856175551,2.13717612497733,2.13662992757575,2.13674448409334,2.13723898896695,2.13718941005339,2.13777740607323,2.13794379383089,2.1379709600096,2.13774954921585
"HAR",11,22,1.98895731280206,1.98895731280206,1.98753839622142,1.99551630451346,1.99628362281916,1.98844772621071,1.98564512225372,1.98397014190137,1.9768537211229,1.97686112222804,1.97728230600029,1.97738716691337,1.97752263760723,1.9774719593205,1.97828675484779,1.97696326211847,1.97682145099715,1.97749242289192,1.97614882808753,1.97617420732628,1.97593013816277,1.97583701523541,1.97579976044401,1.97511402266451,1.97484893093999,1.97466118930289,1.97472839302157,1.9745676002162,1.9745584978415,1.97448459241667,1.97371892626025,1.97401388877498,1.97388840071982,1.97129870215763,1.97086504936259,1.97075364797572,1.97070205215285,1.97062430682175,1.97066748971723,1.97040830043129,1.97028401311113,1.9701119066423,1.97015086694427,1.97030246582703,1.97057385418389,1.97031534200192,1.97027914662892,1.97021738251347,1.97016544066374
"HOH",11,22,6.91236037038535,6.91236037038535,6.90764915168476,6.89073342054257,6.90624352303574,6.90676329032708,6.88883902580022,6.89192078845948,6.92227297022371,6.92372798487957,6.92118193980137,6.92150654196624,6.92154729795921,6.91842779097262,6.91841221158626,6.91815410767643,6.91852321262739,6.91731014805713,6.91786520890349,6.91873033693195,6.92083043315048,6.92070211145187,6.92077161806834,6.92068470192402,6.91991818092469,6.91943490623936,6.91972903671746,6.92313407833587,6.92307187121265,6.92302092034326,6.92374020555666,6.92355512156911,6.92355438895643,6.92434497181136,6.92500853785805,6.9248027560089,6.92498489010756,6.92498551279983,6.92520163126591,6.92524324960611,6.92527489117377,6.92541824331411,6.92532255572462,6.92555043831922,6.92555955518718,6.92583885470658,6.92601971219967,6.92596964274384,6.92562685459934
"HSH",12,25,1.16139183874062,1.16139183874062,1.12034583293901,1.16758547721402,1.16535923419433,1.11199787407708,1.10018297805776,1.09737000002146,1.10215875130079,1.10922852101982,1.10322491243574,1.10305391481956,1.09770334594816,1.09962163279363,1.09941708272597,1.10509385861881,1.10515161931753,1.1086051509826,1.11215066688584,1.11646708023044,1.12685495891061,1.12745729685728,1.1282598839662,1.12823453618309,1.12812388015815,1.12843313835212,1.12837668731881,1.12822705606754,1.12817220439098,1.12882983775775,1.1268179863713,1.12760677345066,1.12840795361233,1.12879466207148,1.1287238974631,1.12706891754675,1.12624866247246,1.12631566308649,1.13121603396461,1.1332809905994,1.13123170484795,1.13220656298551,1.1324060492402,1.13197231563026,1.13212877084408,1.13215125255233,1.13367053006912,1.13289050451673,1.1331181270852
