"building","numTestDays","numTrainDays","IDS","IDSew","IDSmw","WD","WM","WS","WSew","WSmw","KNN","KNNew","KNNmw","EnsRF","EnsRFpb","EnsRFglobal"
"ALM","14","28","0.20713228829086","0.208781278825018","0.205131781272073","0.308559889815353","1.25285368020601","0.213302645733127","0.212027596082418","0.210393686255191","0.205066261983363","0.207139600727166","0.202306789945356","0.205871290795094","0.222668601267671","0.2279348835608"
"ASC","13","25","0.100497652923902","0.0965878178816423","0.0926489129129128","0.11790170716957","0.176004615573736","0.0956119321045314","0.0909353057660786","0.0905786880629615","0.0981961604877429","0.0939008301966952","0.0829417057193112","0.0854520700693003","0.0908841296957605","0.0917438889050534"
"BHE","3","6","0.0937011723313015","0.0947582170057278","0.0991587876065971","0.143890187401678","0.119940117276432","0.0812005698257098","0.074527046606936","0.0835566655240834","0.0744265253705153","0.0787005727817863","0.079584588392118","0.119040358115726","0.127335626166389","0.105900025172207"
"BKS","5","10","0.0759736376798297","0.0743596030535331","0.0783218810111966","0.0989788288961053","0.162870771919839","0.0824780669941787","0.0817405533683494","0.081164603585431","0.0783842973857794","0.0784781671896662","0.0789376744062218","0.0827030542722768","0.0722524874402149","0.0783811482998569"
"BRI","10","20","0.0947331352777126","0.0946263489665965","0.0944389605237491","0.164770723995308","0.143809202788308","0.0915797028951484","0.0908397706777281","0.0922287785304599","0.0920125847976062","0.0935662900708917","0.0946892448538244","0.100647380645277","0.106050249702693","0.102359395430044"
"DRB","11","21","0.0839728427802956","0.08461505208794","0.0885092751522442","0.1311440185138","0.192693766260335","0.0616794092992737","0.0629380103337611","0.0635162718719101","0.0837180936840806","0.0843001444685792","0.0881211283368637","0.075990371950914","0.0819728926556683","0.0814412006861162"
"EEB","4","8","0.0834892841449866","0.0753255209281665","0.0786625975212521","0.206496023638876","0.263449183411297","0.104969113907741","0.0898131877612328","0.0871227924955675","0.0844599300735456","0.0788687819040102","0.0824008467776814","0.100047192122769","0.145716500169575","0.129714807555625"
"GFS","12","23","0.179195871954676","0.181811201348491","0.190027418291511","0.21003682577037","0.307326118847446","0.177827844781938","0.169890906399331","0.171802331005781","0.184363868260319","0.182875125887827","0.188372187551422","0.176570572782477","0.184898595526572","0.181545484880538"
"HAR","11","22","0.111818493546742","0.108014266176143","0.100112128786894","0.069396457253927","0.126600330553884","0.090618121446854","0.0856553877461445","0.092307214185561","0.109249432157162","0.101897599593804","0.0971780077612627","0.100552945449097","0.0819804815721025","0.0930411132857551"
"HOH","11","22","0.0883450672079384","0.0802009600413399","0.0794672126072728","0.216231220086119","0.718376836250993","0.0560898706322205","0.0550624667143195","0.0515287934911817","0.111611413412634","0.092131582612023","0.0896134139793298","0.0935250498455446","0.103254286239487","0.0919346673413686"
