"building","numTestDays","numTrainDays","mapeWS","mapeKNN"
"ALM",0,0,0.200986095926584,0.207888412664538
"ASC",0,0,0.115177077518462,0.132187553514722
"BHE",0,0,0.124165377370565,0.11583742915529
"BKS",0,0,0.0957154211367746,0.0751193761538977
"BRI",0,0,0.111431869944498,0.110615102548981
"DRB",0,0,0.091945478651218,0.113585046390063
"EEB",0,0,0.127731503772439,0.14267051035936
"GFS",0,0,0.0977527099850065,0.108760150078762
"HAR",0,0,0.085226873068362,0.106850397758211
"HOH",0,0,0.200286211478341,0.216156141855005
"HSH",0,0,0.420836910696325,0.434268038866486
"JHH",0,0,0.107549395478609,0.131700360008341
"JKP",0,0,0.113224297422241,0.114741314715761
"KAP",0,0,0.127429019580684,0.134905414224511
"LAW",0,0,0.0624206201977484,0.082272003307923
"LRC",0,0,0.147921822794837,0.157006693230174
"LVL",0,0,0.203910342066342,0.231818222721119
"MHP",0,0,0.133548074464791,0.147296436957313
"MRF",0,0,0.220847218888649,0.260024009304454
"OHE",0,0,0.0744590606040678,0.0804198181322868
"RGL",0,0,0.0671766523068274,0.0641528962679251
"SAL",0,0,0.119154324398873,0.128442229758089
"SCB",0,0,0.136611046975232,0.162027017889366
"SCC",0,0,0.59527661687668,0.583322526843283
"SCE",0,0,Inf,Inf
"SCX",0,0,0.113570434614023,0.107307793933872
"SLH",0,0,0.10830162719484,0.105305856762983
"SOS",0,0,0.119368092548287,0.127441794672896
"STU",0,0,0.0797944818220117,0.0762052272011206
"SWC",0,0,0.133196212562275,0.135143225669543
"TCC",0,0,0.0429659616797438,0.0757849310732131
"THH",0,0,0.0879589980511899,0.108490041444359
"VKC",0,0,0.221114410869908,0.21970375300612
"WAH",0,0,0.146352280534026,0.16150424909325
"WPH",0,0,0.144300112967437,0.151659250366324
