"building","numTestDays","numTrainDays","Histmean","WD","WM","WS","KNN","KNNglobal","EnsLM","EnsLM2","EnsLM3","EnsRT","EnsRF"
"ALM","14","28","0.20646230646534","0.308559889815353","1.25285368020601","0.213302645733127","0.205066261983363","0.528440340610946","0.222458353865474","0.225847417497533","0.207132288290859","0.222260970492303","0.205026026148783"
"ASC","13","25","0.132314356791304","0.11790170716957","0.176004615573736","0.0956119321045314","0.0981961604877429","0.748643908403957","0.0979428505839427","0.0838641946761261","0.100497652923902","0.153554816297902","0.0862505918094039"
"BHE","3","6","0.107491069973802","0.143890187401678","0.119940117276432","0.0812005698257098","0.0744265253705153","0.679333392643307","0.223587428716098","0.211590336497818","0.0937011723313019","0.0937011723313015","0.118251760098534"
"BKS","5","10","0.0845323711271176","0.0989788288961053","0.162870771919839","0.0824780669941787","0.0783842973857794","0.65168199109513","0.166536517664874","0.0906641141696124","0.0759736376798294","0.0759736376798297","0.0822295443979227"
"BRI","10","20","0.111177965615611","0.164770723995308","0.143809202788308","0.0915797028951484","0.0920125847976062","0.582703524556249","0.105305004338714","0.122536595936748","0.0947331352777118","0.133069446702666","0.101243103570993"
"DRB","11","21","0.115335603853115","0.1311440185138","0.192693766260335","0.0616794092992737","0.0837180936840806","0.75012330854616","0.127320819244625","0.119018671342905","0.0839728427802952","0.11210382644784","0.0763054892820189"
"EEB","4","8","0.138428557172728","0.206496023638876","0.263449183411297","0.104969113907741","0.0844599300735456","0.786396017390254","0.261351959698345","0.387104360945935","0.0834892841449864","0.0834892841449866","0.100072418258768"
"GFS","12","23","0.107576445336005","0.21003682577037","0.307326118847446","0.177827844781938","0.184363868260319","0.589693082190801","0.160580195059745","0.149751481431075","0.179195871954674","0.205851416662966","0.176473771355332"
"HAR","11","22","0.10727893538691","0.069396457253927","0.126600330553884","0.090618121446854","0.109249432157162","0.658940326757039","0.0829013951542089","0.0695368892003978","0.111818493546743","0.138370253817109","0.100621847033896"
"HOH","11","22","0.216315345092213","0.216231220086119","0.718376836250993","0.0560898706322205","0.111611413412634","0.772732808583847","0.0605840161784078","0.0603558743863016","0.0883450672079343","0.161356320900188","0.0934930876893969"
"HSH","12","25","0.435194448793661","0.487569132431866","0.897699555458836","0.270748543802397","0.293633882978035","0.430020412506788","0.286046802655387","0.307121115760643","0.293954396801131","0.354022556774567","0.321786877930878"
"JHH","2","5","0.137826022287267","0.14017191984515","0.101037761327622","0.175432513740404","0.184693114119463","0.688812049286775","0.138562003399922","0.176933187355721","0.167336434438805","0.167336434438805","0.169971633602108"
"JKP","4","7","0.131031659749933","0.281294779995905","0.23996634529477","0.0533542466958577","0.0644590253182293","0.689737030974296","0.221962338659873","0.201423751851321","0.0753895989362089","0.0753895989362098","0.0631657651616139"
"KAP","12","23","0.135040156162537","0.19553444804787","0.357635905037855","0.0895052499624365","0.0924269879817223","0.778175218065851","0.121726972564414","0.0977017546032291","0.0884310760893856","0.143347584645785","0.0919284335657567"
"LAW","4","8","0.0822092725459188","0.249310617887895","0.0711645432190577","0.031655363215533","0.0452145102426002","0.736160415668242","0.0690339193958189","0.192996543279359","0.0544648214519588","0.0544648214519595","0.041678567800971"
"LVL","17","35","0.266687816860124","0.418946941639047","0.647400595433271","0.237796819934916","0.271060409015276","0.58801536886958","0.250806121775993","0.244850047128606","0.302149772791556","0.422111946733513","0.287125314970093"
"MHP","10","21","0.144212196692382","0.14417077389779","0.263852073545727","0.131241825939796","0.14652432415018","0.294786128960505","0.145300259086531","0.134716496016879","0.14661325213205","0.215261949175629","0.151405452079325"
"MRF","5","10","0.2717542637334","0.324484239606654","0.247697301391191","0.24383492251071","0.278388821598312","0.668353095572912","0.229481384798168","0.233844319049114","0.269071790916126","0.269071790916123","0.252866939153981"
"OHE","10","19","0.0794403656224836","0.175828608742133","0.132000937005573","0.061868596173065","0.0683309127354673","0.725414685607273","0.0761635241768303","0.0859298320355728","0.0689839710816498","0.0689839710816476","0.0687827897660258"
"RGL","3","5","0.0691882137470373","0.123333616984468","0.116924464786465","0.137168640616372","0.122153586128648","0.596059284938817","0.134626193170602","0.177959121020073","0.124126996799211","0.12412699679921","0.129245139433902"
"SAL","11","21","0.128344996770856","0.2313358147734","0.233068796409817","0.101638569263318","0.125582078702889","0.532961339040174","0.128156133815196","0.12848807865488","0.12278138622992","0.0628035191981208","0.0934424387157109"
"SCB","22","45","0.194509722989927","0.152651165971348","0.162700895809697","0.106093813462545","0.081662298663498","0.61630533639262","0.102565140242873","0.107727662681904","0.0853415608867921","0.123592467431276","0.0911167506129739"
"SCX","10","21","0.107048611111111","0.162762344612943","0.27430220647264","0.102521427854575","0.0956517892142231","0.21915889361732","0.117094519714011","0.114532427826834","0.0971874999999982","0.136496253746254","0.0984546944444445"
"SLH","4","8","0.101614793778117","0.221918949506628","0.175725303122755","0.168183422332356","0.154980907266117","0.295374355841866","0.171565476500573","0.220681910827107","0.154888222517642","0.154888222517644","0.163492063997569"
"SOS","11","22","0.127110039609801","0.080953269284077","0.189025901027259","0.118424799023256","0.116356679051435","0.68932581896162","0.123613060819241","0.114207396372628","0.116315085903936","0.138162811026766","0.119106344453567"
"STU","7","14","0.0785485957329232","0.139941818075591","0.226580152841432","0.140904022913427","0.145624969503348","0.641549535909671","0.127775829866025","0.128051284874329","0.148207370815881","0.148207370815884","0.147745144245171"
"SWC","11","23","0.134677970743874","0.108178544258467","0.125377626708977","0.0996975176439426","0.094895602363335","0.229761491406792","0.0985555089334833","0.0942305952245181","0.0911640827536247","0.13408938594174","0.0907034410587034"
"TCC","20","41","0.121438726163159","0.14504011728104","0.0566663069245158","0.0746019670471887","0.120668559323125","0.696208099042882","0.0520850151580084","0.0551945489735865","0.145871026939964","0.116999429403514","0.0926320904142861"
"THH","10","21","0.10852829802191","0.139443512999903","0.20864631474047","0.116851100676256","0.134555656505821","0.781112701286983","0.109231725100454","0.0981704261052962","0.129147988428743","0.156872486207082","0.0957027947358791"
