"mape","daycounts"
0.110306784085033,1
0.241307209916876,2
0.123990456941828,3
0.068049252619367,4
0.0486025121728312,5
0.131700660726837,6
0.0514958065277931,7
0.0250202342098162,8
0.0234382376876962,9
0.0476582396764584,10
0.048967896597846,11
0.0621822707460585,12
0.0572073523500643,13
0.088530165008431,14
0.10374252168731,15
0.068845665801284,16
0.0514194704872478,17
0.106914044399113,18
0.0367789298908586,19
0.0402216883449533,20
0.0324116543484724,21
0.0241383677999632,22
0.142639357466783,23
0.043982493038023,24
0.0698831339152512,25
0.113714015058571,26
0.10718872910693,27
0.0587622880450039,28
