"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-03-18",62.05,59.8,56.15,59.24,56.81,57.36,57.14,67.3,55.31,56,57.37,58.77,54.85,63.38,55.64,56.95
"2013-03-20",58.04,59.86,64.76,57.34,56.63,58.86,58.22,56.83,60.37,63.11,56.46,55.81,55.6,58.6,53.52,63.13
"2013-03-22",58.19,62.65,56.41,55.95,58.79,54.52,53.28,56.19,62.7,56.09,53.35,52.91,51.47,52.75,54.04,51.25
"2013-03-26",73.37,68.36,65.07,65.51,65.84,68.26,73.49,64.08,73.2,62.11,61.01,64.5,63.05,60.25,61.85,66.03
"2013-03-28",72.17,65.92,62.95,65.37,68.17,63.57,71.13,66.65,62.17,61.01,61.11,61.89,66.18,61.24,61.4,58.61
"2013-04-01",59.1,53.71,54.3,62.97,60.09,54.83,56.44,55.27,52.1,52.11,64.62,52.32,62.56,61.83,60.42,59.92
"2013-04-03",54.84,52.48,61.83,55.23,53.24,55.44,56.41,51.7,54.16,57.32,51.08,48.88,61.99,60.55,58.52,67.15
"2013-04-05",54.24,44.61,42.38,42.53,45.58,41.8,41.87,51.36,43.99,41.01,40.56,42.38,42.5,43.34,45.02,42.21
"2013-04-09",61.01,59.15,56.58,66.78,61.19,56.84,57.25,60.97,57.34,57.69,65.47,59.79,55.74,56.5,58.46,56.15
"2013-04-11",56.08,60.27,65.5,57.81,57.89,61.2,56.79,56.43,67.88,57.73,56.09,57.54,55.81,54.39,56.17,65.36
"2013-04-15",67.6,64.82,67.85,68.73,66.52,67.55,76.63,67.27,68.19,70.89,68.55,67.84,74.38,70.75,66.89,69.41
"2013-04-17",74.01,69.48,69.32,66.22,68.34,74.31,72.04,67.83,71.63,66.6,66.6,69.93,77.3,66.58,70.04,69.79
"2013-04-19",60.07,60.3,64.25,68.26,60.61,60.04,62.1,57.9,57.49,66.48,60.78,58.16,56.96,60.07,57.73,60.2
"2013-04-23",70.62,73.4,74.93,74.06,59.17,62.88,59.69,62.25,65.11,67.46,62.03,63.06,61.63,60,61.38,69.26
"2013-04-25",62.06,63.04,58.73,62.62,59.64,57.77,60.08,63.75,56.57,58.27,57.05,56.08,57.75,64.38,53.64,54.38
"2013-05-20",57.71,48.7,47.47,48.78,50.03,59.76,49.62,51.4,49.36,51.96,47.89,46.87,54.65,54.07,47.02,47.5
"2013-05-22",56.03,52.11,51.15,50.01,51.1,58.48,55.12,51.77,50.65,52.88,49.4,48.2,52.53,58.88,48.45,47.68
"2013-05-24",46.46,49.12,46.04,45.16,45.65,47.81,52.33,45.71,45.42,45.61,42.15,42.38,40.84,42.05,52.19,40.68
"2013-05-28",61.42,53.16,60.39,56.95,54.47,54.49,55.73,58.82,62.39,55.21,54.79,60.91,55.99,54.37,57.46,52.78
"2013-05-30",56.35,60.96,55.63,54.07,52.9,54.89,52.42,51.83,52.44,59.21,55.25,53.84,51.27,52.36,52.12,54.9
"2013-06-03",65.72,76.12,65.68,65.81,66.52,72.18,71.17,64.36,64.9,64.47,73.39,69.76,71.27,65.51,65.32,62.03
"2013-06-05",65.89,65.91,65.7,64.15,65.18,70.12,68.98,69.55,67.15,65.15,63.95,62.44,71.46,67.99,61.74,61.48
"2013-06-07",62.41,61.02,68.49,67.08,62.34,61.66,65.88,60.83,63.35,67.66,65.7,66.11,58.94,62.63,62.22,60.25
"2013-06-09",33.07,32.24,35.59,36.62,38.92,35.37,36.05,35.52,33.08,34.79,34.94,34.33,35.71,34.28,41.25,42.5
"2013-06-10",70.09,62.66,61.96,61.85,65.56,62.64,67.85,60.38,64.71,62.46,61.12,61.7,71.75,64.21,61.44,59.92
