"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2012-11-26",33.95,33.08,32.07,34.06,33.08,32.08,33.07,32.08,32.08,34.21,35.67,35.07,33.09,32.08,33.1,32.09
"2012-11-30",28.06,28.09,28.05,28.07,30.06,28.06,27.07,27.07,28.87,26.92,28.07,28.08,28.07,26.08,26.09,25.09
"2012-12-04",33.06,33.05,35.05,33.04,33.06,31.06,33.08,33.08,32.07,32.08,33.07,32.07,31.07,32.07,31.08,32.07
"2012-12-06",29.52,28.41,30.83,30.08,29.07,29.07,28.05,28.06,29.07,28.08,28.06,29.06,27.9,26.99,27.09,27.09
"2013-03-04",28.98,27.48,29.41,28.14,27.18,30.17,28.4,29.47,28.06,29.13,30.93,27.92,27.92,28.9,28.91,28.91
"2013-03-06",27.89,27.9,26.91,25.9,27.9,26.7,27.3,26.7,26.91,27.92,27.91,25.91,27.92,25.92,24.91,26.93
"2013-03-08",28.14,26.15,27.15,27.15,25.16,26.12,27.11,27.1,26.1,26.1,26.12,24.1,27.09,26.11,24.11,26.1
"2013-03-12",28.12,27.94,27.41,27.78,27.12,27.09,26.38,25.84,27.25,27.11,27.67,25.35,26.5,27.18,24.14,26.09
"2013-10-22",25,26,27,28,26,26,26,27,25,25,24,25,25,26,24,25
"2013-10-24",25,24,25,26,25,24,25,24,25,27,25,25,25,25,26,26
