"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-02-25",51.73,51.74,51.73,51.72,52.72,52.76,51.76,52.77,51.77,51.75,52.76,53.78,51.77,50.79,51.79,49.79
"2013-02-27",51.72,50.73,51.69,51.63,51.72,52.72,51.74,50.75,51.74,51.74,52.72,50.76,51.75,50.79,52.78,49.77
"2013-03-01",49.64,50.49,49.51,50.75,50.66,53.53,50.63,50.63,49.68,51.72,49.74,50.74,48.75,49.75,48.78,48.76
"2013-03-04",38.76,40.74,41.73,41.7,43.73,42.75,42.76,43.76,44.75,44.74,45.76,44.75,44.76,43.78,43.77,42.78
"2013-03-06",38.76,39.75,40.74,40.7,40.76,40.76,38.75,39.76,40.78,41.75,41.75,38.84,41.75,41.79,40.78,41.78
"2013-03-08",39.81,38.81,39.8,39.79,39.82,38.83,39.82,38.82,39.83,41.81,39.83,41.82,37.83,37.83,35.83,29.84
"2013-03-12",8.12,8.12,8.12,8.12,39.68,41.71,40.68,41.68,40.69,42.71,42.69,41.71,41.72,42.75,40.74,40.74
"2013-03-18",27.81,27.82,27.81,27.83,26.81,26.83,27.82,27.83,30.75,28.82,27.82,28.83,27.83,26.83,26.84,26.83
"2013-03-20",30.81,31.79,30.81,32.79,32.8,32.79,31.81,33.81,32.82,32.81,31.81,31.82,32.83,31.82,32.82,32.82
"2013-03-22",30.8,30.77,30.8,29.79,28.8,29.81,28.8,29.81,29.81,30.81,29.82,28.82,29.81,29.83,30.82,29.84
"2013-03-26",38.73,38.71,38.71,40.63,40.69,40.72,40.71,40.73,42.73,44.64,43.73,41.79,44.74,45.74,45.68,43.76
"2013-03-28",37.71,37.7,38.68,38.62,39.65,39.7,39.71,40.72,38.73,41.72,41.74,42.73,43.75,41.75,45.75,49.76
"2013-04-01",51.71,52.7,52.69,54.65,53.69,52.74,53.74,52.73,52.73,53.73,52.73,53.74,53.76,52.74,51.79,51.75
"2013-04-03",50.65,50.68,51.67,53.66,52.69,52.72,51.7,51.7,53.67,53.72,52.7,54.69,52.72,52.74,51.74,50.74
"2013-04-05",49.72,49.74,50.71,48.73,49.74,50.75,49.75,50.74,50.76,51.76,50.77,49.77,49.78,47.78,43.79,41.79
"2013-04-09",52.6,50.67,48.74,51.6,50.65,51.69,49.71,50.73,50.72,50.72,50.73,50.73,50.73,49.76,50.77,50.75
"2013-04-11",49.71,49.68,50.7,52.17,52.17,51.71,51.73,50.72,52.71,51.7,51.72,51.73,51.74,51.75,50.77,49.76
"2013-09-24",43.49,40.32,40.51,40.52,40.4,42.48,41.51,39.51,40.51,40.54,41.53,40.55,39.55,40.63,41.62,40.63
"2013-09-26",42.65,38.66,38.65,39.6,38.59,38.66,38.65,37.66,38.65,37.64,39.61,38.62,39.66,38.67,38.71,39.7
"2013-10-22",49.67,50.65,50.62,50.59,51.57,50.63,50.66,50.64,49.64,49.62,51.62,49.63,52.65,51.68,50.68,49.68
"2013-10-24",49.66,48.67,48.66,48.63,48.59,49.65,46.66,47.67,47.67,48.66,48.63,47.64,49.66,49.69,48.69,47.7
"2013-10-28",40.6,39.67,39.69,38.69,38.67,39.67,40.66,39.67,40.67,38.69,40.71,39.68,42.68,47.72,47.72,47.72
