"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-01-23",12.39,11.6,11.05,11.4,10.87,10.88,10.58,10.46,10.53,10.51,10.89,10.98,10.73,10.69,10.56,10.32
"2013-01-25",10.07,8.27,8.67,10.06,10.28,9.54,7.91,9.64,9.86,8.6,9.11,9,8.45,8.36,8.16,7.37
"2013-01-29",8.6,7.91,7.64,8.55,8.62,8.57,9,8.72,8.36,8.83,8.11,8.44,8.48,8.54,7.09,6.6
"2013-01-31",11.28,10.99,10.62,10.36,10.49,10.71,10.41,10.63,10.2,9.82,9.95,10.22,10.23,9.4,9.75,9.4
"2013-02-04",10.59,10.21,10.26,9.9,9.71,9.73,9.72,10.05,9.59,9.66,9.54,9.66,8.3,9.2,8.32,8.36
"2013-02-06",4.7,4.5,4.65,4.89,4.22,4.05,4.57,4.32,4.45,4.46,3.84,3.95,3.85,3.85,3.86,4.13
"2013-02-08",4.74,4.93,5.19,4.66,5,4.45,4.48,4.33,4.36,3.74,4.12,4.15,3.98,4.6,4.23,3.7
"2013-02-12",5.27,4.93,5.57,5.32,4.75,4.73,5.04,4.84,4.88,4.8,4.9,4.67,5.1,4.64,4.41,4.4
"2013-02-14",4.43,4.67,4.48,4.46,4.52,4.71,4.61,4.48,4.71,4.98,4.96,4.56,4.66,4.26,3.79,3.87
"2013-02-26",4.67,4.43,4.52,4.37,4.44,4.1,4.61,4.37,4.1,4.36,4.43,4.02,4.18,3.71,3.78,4.02
"2013-02-28",4.52,4.66,4.41,4.58,4.71,4.21,4.49,4.14,4.52,4.54,4.57,4.66,4.01,4.27,4.1,4.01
"2013-03-04",10.27,10.04,9.85,9.87,9.58,9.96,9.82,9.88,8.89,8.6,9.11,8.72,8.99,8.91,9.08,8.05
"2013-03-06",9.43,8.78,9.46,8.85,9.15,8.61,9.25,8.99,8.52,8.67,9.09,8.53,7.89,8.04,7.73,7.46
"2013-03-08",8.21,8.57,8.25,8.36,7.84,7.8,7.05,6.88,6.8,6.64,6.54,6.4,6.77,6.83,6.95,6.42
"2013-03-12",11.35,10.52,11.25,10.88,10.39,10.74,10.58,10.2,10.56,11.35,11.36,11.37,11.91,11.05,10.88,10.53
"2013-03-20",4.01,4.22,3.89,3.89,3.78,3.68,3.69,3.47,3.63,3.31,3.22,3.33,8.14,8.32,8.11,8.15
"2013-03-22",3.46,3.47,3.47,3.35,3.26,3.3,3.26,3.31,3.28,3.32,3.23,3.27,9.09,8.55,8.3,8.02
"2013-03-26",4.78,5.07,4.63,4.66,5.12,4.81,5.08,4.66,4.81,4.11,4.1,4.63,10.1,9.34,8.73,8.6
"2013-03-28",4.51,4.63,4.44,4.51,4.75,4.08,4.13,4.63,4.12,4.37,4.16,4.04,6.31,9.51,8.79,8.98
"2013-04-01",4.57,4.23,4.33,4.58,4.32,4.31,4.43,3.79,3.76,4.17,4.18,3.96,9.46,8.48,6.63,7.1
"2013-04-03",4.24,4.21,4.37,4.27,4.51,4.43,4.34,4.01,4.52,4.42,12.03,11.93,11.44,10.62,8.53,8.35
"2013-04-05",3.6,3.57,3.77,3.91,3.84,3.68,4.02,3.9,4,4.02,3.72,3.41,3.19,3.14,2.84,2.65
"2013-04-09",5.16,4.52,4.81,4.34,4.17,4.26,4.19,4.26,4.63,4.37,4.5,4.17,3.86,3.87,4.08,4.18
"2013-04-11",5.73,4.75,4.07,4.13,3.98,3.98,3.99,3.85,4.29,4.14,3.92,4.12,4.52,7.84,10.92,10.9
"2013-10-22",8.02,6.98,10.05,9.06,8.09,8.11,8.1,8.09,8.99,8.16,7.09,7.07,7.13,9.11,8.04,6.99
