"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-01-23",1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1
"2013-01-25",4,3,2,1,2,2,4,3,3,1,2,1,2,1,1,1
"2013-01-29",1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
"2013-01-31",3,2,3,3,3,4,4,4,3,3,4,3,3,3,2,3
"2013-02-04",3,4,5,4,4,3,4,4,3,4,4,3,4,2,2,4
"2013-03-04",2,1,1,1,2,1,2,2,3,2,2,2,2,2,1,1
"2013-03-06",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"2013-03-08",4,5,3,3,3,3,3,3,5,6,4,4,4,4,3,2
"2013-03-12",0.4,1,3,2,1,2,2,2,2,2,2,2,2,2,2,3
"2013-10-22",2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2
