"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2012-11-26",10.99,14.81,12.69,14.78,15.87,13.78,13.55,13.52,13.78,14.51,12.51,11.49,13.2,13.01,11.25,13.32
"2012-11-30",11.51,11.34,11.12,11.73,10.57,11.73,11.28,11.69,11.53,11.05,11.66,11.98,10.54,11.03,10.95,10.54
"2012-12-04",15.98,16.18,16.33,15.85,16.78,14.13,16.24,14.86,15.45,18.31,16.27,16.73,18.93,17.24,18.19,16.45
"2012-12-06",20.38,17.21,17.64,18.65,19.7,20,19.2,19.6,18.68,17.32,18.52,18.45,18.62,18.65,17.56,15.47
"2013-03-04",13.33,14.02,14.68,16.03,14.84,13.53,13.37,13.48,13.36,13.39,14.43,13.49,12.72,11.73,11.19,10.91
"2013-03-06",13.06,14.67,16.1,14.62,15.13,15.49,14.13,12.95,13.74,14.69,14.95,12.07,14.7,13.59,10.31,12.18
"2013-03-08",14.59,14.46,13.13,14.3,12.59,12.04,13.49,13.13,11.11,11.73,12.54,10.24,11.76,11.85,9.82,11.31
"2013-03-12",3.35,3.35,3.35,3.35,16.35,15.98,16.89,16.56,16.68,16.36,16.57,17.69,18.29,15.57,14.65,14.67
"2013-10-22",23.43,16.78,16.24,16.98,17.74,18.67,17.04,18.52,17.78,18.23,17.51,17.76,17.55,17,16.61,16.89
"2013-10-24",24.08,17.4,17.04,16.7,16.77,16.94,16.6,19.13,18.82,19.13,18.59,19.11,18.93,18.7,17.56,17.68
