"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-01-23",22.55,22.7,22.89,23.01,22.5,22.53,22.72,22.64,22.47,22.79,22.92,22.56,22.4,22.22,21.57,21.18
"2013-01-25",20,19.69,19.57,19.33,19.89,19.42,19.46,19.58,19.29,19.77,19.58,19.06,18.95,19.22,18.52,17.88
"2013-01-29",21.13,21.16,20.91,21.16,21.18,20.72,20.84,22.68,21.06,21.12,21.56,20.7,19.34,20.48,19.61,19.63
"2013-01-31",22,22.49,22.71,22.6,22.76,22.3,22.29,22.38,22.4,21.81,22.25,22.17,21.9,22,21.32,21.02
"2013-02-04",22.48,22.17,22.58,22.78,22.52,22.1,22.3,22.3,22.02,21.8,21.55,21.63,21.12,20.79,20.46,20.17
"2013-02-06",21.6,19.96,19.79,20.4,20.26,19.99,19.88,20.05,18.9,19.69,19.96,19.93,19.74,19.74,19.53,18.71
"2013-02-08",19.78,18.9,18.86,18.49,16.65,18.86,18.43,18.35,17.17,18.09,18.29,17.94,17.88,16.23,17.67,17.5
"2013-02-12",21.24,21.12,21.17,20.72,20.9,20.59,20.08,20.45,20.4,20.45,20.57,20.79,20.76,20.33,20.31,19.7
"2013-02-14",21.8,22.07,22.32,21.91,22.19,22.24,22.05,21.85,22.17,21.94,21.36,21.18,21.43,20.86,20.37,20.22
"2013-02-26",20.8,21.21,20.97,20.91,21.27,20.73,20.74,20.91,21.11,20.66,20.43,20.59,20.3,20.17,20,19.45
"2013-02-28",21.54,21.89,21.64,21.94,21.92,21.59,21.4,21.72,21.48,21.23,21.62,21.51,21.31,21.14,21.41,20.51
"2013-03-04",22.1,21.72,22.13,22.3,22.48,22.17,21.96,22.4,21.81,21.56,21.73,21.68,21.6,21.09,21.23,20.59
"2013-03-06",21.87,21.61,21.59,22.04,21.68,21.55,20.95,21.16,21.53,21.02,21.06,19.86,20.94,20.64,20.61,20.54
"2013-03-08",19.6,19.83,19.84,20.12,20.02,19.92,19.88,20.13,19.62,19.58,19.53,19.75,19.26,19.11,18.56,18.37
"2013-03-12",4.46,4.46,4.46,4.46,22.59,22.46,22.24,22,22.49,22.67,22.09,22.26,22.47,22.11,21.73,21.79
"2013-03-18",17.75,17.13,17.37,17.36,17.37,17.38,17.51,17.04,18.36,17.27,17.5,17.22,17.22,16.85,16.49,16.3
"2013-03-20",18.17,17.76,17.67,17.72,17.95,17.91,18.29,18,17.71,17.65,17.58,18.16,17.66,17.5,17.18,17.19
"2013-03-22",17.77,17.92,18.02,18,18.24,17.86,17.68,17.53,18.02,17.7,17.75,17.53,17.38,17.18,17.15,16.75
"2013-03-26",21.01,20.86,21.55,21.23,21.49,21.39,21.22,21.32,21.66,22.61,20.7,19.5,20.41,20.13,21.05,19.74
"2013-03-28",22.37,20.84,21.08,21.18,21.02,21.09,20.75,20.61,20.58,20.6,20.7,20.28,20.39,20.69,19.95,19.62
"2013-04-01",17.6,17.26,17.16,17.42,17.18,16.8,16.79,17.32,16.79,16.37,16.38,15.92,15.93,15.79,16.13,15.76
"2013-04-03",18.57,17.17,17.3,17.48,17.51,17.14,17.33,17.44,17.46,17.27,17.34,17.13,16.88,17.24,17.06,16.58
