"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-03-20",22,22,23,22,23,23,22,23,22,23,21,20,19,18,17,16
"2013-03-22",24,23,24,23,22,22,23,23,22,21,22,20,17,17,16,16
"2013-03-26",25,26,24,24,26,25,25,25,25,24,23,23,21,21,20,19
"2013-03-28",25,25,26,25,23,24,25,25,25,23,23,22,21,20,19,18
"2013-04-01",20,20,21,19,20,19,20,19,19,20,19,17,20,20,19,19
"2013-04-03",21,21,20,20,21,21,20,20,20,19,21,20,22,22,20,19
"2013-04-05",19,18,18,18,19,19,17,19,19,17,18,17,15,12,13,13
"2013-04-09",24,22,22,20,20,20,21,19,20,21,21,20,20,18,18,19
"2013-04-11",23,21,20,20,20,19,20,20,19,19,20,20,20,19,18,18
"2013-04-15",22,19,19,19,20,20,20,19,20,19,19,19,19,19,18,19
"2013-04-17",23,21,20,21,20,20,21,21,20,21,21,20,20,19,21,20
"2013-04-19",22,20,20,20,21,21,19,19,19,20,19,19,19,19,18,17
"2013-04-23",23,21,22,20,21,20,21,20,21,20,20,21,20,20,19,19
"2013-04-25",23,19,21,20,21,20,21,19,20,20,21,20,19,20,19,20
