"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-03-18",52,50,49,49,49,49,49,48,48,48,48,47,47,46,46,45
"2013-03-20",50,49,50,50,49,49,49,48,48,48,47,48,57,57,55,54
"2013-03-22",51,52,51,52,52,50,50,50,48,47,48,46,57,56,52,51
"2013-03-26",64,65,63,65,63,62,63,62,61,61,60,59,68,67,67,66
"2013-03-28",65,65,64,62,64,63,62,62,61,59,58,57,58,67,65,66
"2013-04-01",73,73,71,71,71,72,69,71,68,69,68,65,64,63,63,61
"2013-04-03",78,78,79,77,79,78,74,78,73,73,74,73,69,68,67,65
"2013-04-05",67,68,69,67,67,65,64,65,64,62,65,62,60,59,57,58
"2013-04-09",76,74,73,76,71,71,72,70,70,70,68,70,70,68,69,67
"2013-04-11",81,81,79,80,79,78,78,77,78,77,77,76,74,74,74,71
"2013-04-15",61,59,59,60,58,57,61,58,58,60,58,59,58,58,58,55
"2013-04-17",74,74,73,75,64,61,59,62,59,57,62,57,59,59,57,57
"2013-04-19",72,68,68,69,59,57,57,57,57,56,56,56,57,55,55,54
"2013-04-23",80,78,79,79,67,64,64,65,67,66,64,63,63,64,63,65
"2013-04-25",64,61,61,64,63,65,62,61,61,62,60,62,62,61,59,57
"2013-10-22",67,68,67,67,69,68,68,69,68,66,65,64,65,64,63,62
"2013-10-24",66,65,65,65,66,65,64,64,65,64,61,61,61,59,58,58
"2013-10-28",71,70,71,70,71,70,71,67,68,65,66,64,63,62,61,60
"2013-11-01",68,65,66,71,69,64,66,64,66,64,64,61,62,60,59,57
"2013-11-05",73,72,74,73,77,73,75,72,73,71,72,68,70,67,68,66
"2013-11-07",76,75,75,74,74,76,75,73,75,72,71,72,72,70,71,69
