"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2012-06-11",62.24,60.4,60.94,61.86,61.76,62.54,61.36,61.24,62.41,61.48,60.75,66.42,57.74,60.49,60.42,57.61
"2012-06-13",61.15,61.66,61.78,62.49,60.52,60.85,61.85,60.98,60.71,60.73,61.89,60.99,61.97,60.59,60.54,57.92
"2012-06-15",58.63,58.33,59.42,59.49,60.89,60.11,59.67,61.29,59.91,60.58,59.58,59.58,59.05,60.39,58.99,58.07
"2012-06-20",41.15,49.19,35.46,49.03,44.35,38.61,54.6,30.33,50.06,43.45,39.87,55.17,46.81,43.93,54.63,34.57
"2012-06-22",39.24,48.47,33.69,42.61,42.8,34.4,52.96,33.42,52.42,35.59,37.72,45.49,32.01,48.71,44.46,32.91
"2012-06-25",52.7,63.41,54.89,61.37,65.14,50.69,65.6,61.19,59.95,61.7,60.58,60.97,60.35,58.67,59.37,57.71
"2012-06-27",63.24,63.51,63.16,62.98,62.96,62.49,62.33,62.71,62.49,62.29,62.21,61.72,62.39,61.88,61.96,60.36
"2012-06-29",60.39,62.64,60.71,66.72,61.46,59.91,60.65,61.63,60.09,60.95,60.82,60.87,57.36,65.53,60.64,59.84
"2012-07-23",57.82,51.13,57.16,52.86,55.56,52.97,57.03,51.93,51.99,53.76,57.68,51.48,54.34,49.54,56.9,46.69
"2012-07-25",50.25,35.35,54.49,32.95,51.04,38.68,39.33,48.97,34.72,47.95,38.74,45.75,51.24,33.03,51.67,34.18
"2012-07-27",39.76,48.22,34.15,43.04,47.67,36.11,53.71,33.91,44.13,44.18,35.48,48.92,35.03,47.49,51.49,29.26
"2012-07-31",54.53,29.67,50.06,40.45,38.85,49.33,34.27,47.9,48.58,42.38,53.69,33.48,50.63,47.73,50.56,54.8
"2012-08-02",63.05,64.96,64.16,63.63,64.85,65.44,65.42,65.19,65.83,65.67,65.73,66.52,65,60.23,63.99,62.62
"2013-01-23",64.05,64.21,66.14,66.3,65.61,65.29,65.02,66.26,64.69,64.35,63.16,64.26,64.05,63.39,62.17,63.33
"2013-01-25",47.62,60.29,41.75,47.2,52.31,40.08,55.78,55.2,41.12,53.7,41.18,44.51,57.47,43.58,52.01,58.6
"2013-01-29",55.83,45.34,48.17,49.2,49.32,46.5,52.97,45.88,47.11,40.99,45.82,41.29,42.23,41.22,44.63,42.13
"2013-01-31",62.4,64.14,63.56,63.35,64.75,64.74,63.04,63.96,62.03,62.86,61.85,61.22,61.65,60.91,61.3,60.92
"2013-02-04",64.77,63.28,63.38,63.28,64.15,62.93,64.24,63.26,63.48,62.43,62.59,62.19,62.15,61.98,61.56,60.75
"2013-02-06",41.91,39.04,43.05,44.93,41.59,50.9,39.22,51.35,36.39,49.25,49.73,39.2,38.99,47.51,44.32,39.64
