"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-03-20",54,54,53,52,47,51,52,51,51,51,49,44,49,43,46,43
"2013-03-22",52,53,51,51,50,46,50,51,47,42,47,47,44,43,42,42
"2013-03-26",54,54,53,53,52,53,52,52,52,47,51,45,49,45,43,44
"2013-03-28",54,55,53,54,54,53,52,53,52,44,46,47,46,45,42,44
"2013-04-01",42,43,42,41,41,41,40,42,41,41,40,40,49,51,48,48
"2013-04-03",43,43,41,43,41,42,40,41,40,40,40,40,43,47,48,48
"2013-04-05",44,45,43,44,48,44,43,44,42,43,42,41,40,40,41,39
"2013-04-09",51,43,50,44,49,43,49,44,47,40,42,49,43,41,45,42
"2013-04-11",52,50,46,51,46,51,44,49,48,42,43,45,44,39,42,39
"2013-04-15",48,50,51,50,48,49,51,51,49,47,48,49,48,48,47,47
"2013-04-17",41,46,42,45,44,41,41,38,40,40,40,40,39,38,37,38
"2013-04-19",47,45,43,46,44,48,42,45,47,42,47,45,46,41,46,46
"2013-04-23",51,49,48,47,49,47,49,46,51,43,49,44,49,41,48,42
"2013-04-25",52,44,50,44,47,46,48,45,48,45,46,47,43,45,42,43
"2013-09-23",74,70,70,67,70,71,71,71,71,70,68,68,69,67,68,65
"2013-10-22",61,61,61,62,62,61,60,60,59,60,59,61,61,56,56,58
"2013-10-24",62,57,58,61,61,59,60,61,61,59,58,59,61,57,53,55
"2013-10-28",45,45,49,47,46,47,45,46,46,45,44,42,55,51,52,49
"2013-11-01",56,56,53,55,54,59,55,54,56,52,53,54,61,61,59,57
"2013-11-05",53,51,49,47,51,50,51,47,50,46,48,48,53,54,54,54
"2013-11-07",53,52,54,53,51,52,53,50,52,49,46,48,54,59,58,56
