"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-03-20",36.99,37.99,36.99,35.99,36.99,36.99,37.99,34.99,36.99,33.99,33.99,33.99,33.99,32.98,30.99,29.99
"2013-03-22",34,32.99,33.98,32.99,32.99,31.99,32.99,31.99,30.99,30.99,29.99,30.99,29.99,29.99,28.99,29.98
"2013-03-26",44.99,45.99,44.99,45.98,45.99,46.99,44.99,44.98,45.99,43.99,42.99,42.99,43.98,39.99,38.99,39.98
"2013-03-28",45.99,44.99,45.99,44.99,41.99,44.99,43.98,42.99,41.99,41.99,39.99,39.98,40.99,37.99,38.99,36.99
"2013-04-01",37.99,37.99,37.99,36.99,37.99,32.99,37.98,38.99,37.99,36.99,35.98,36.98,39.99,39.98,39.99,37.99
"2013-04-03",41.99,41,39.99,39.99,40.99,41,39.99,38.99,38.99,38.99,37.99,37.99,42.99,41,40.99,38.99
"2013-04-05",36,34.99,36,37,34.99,37,34.99,34,34.99,34.99,33,31.99,30.99,31.99,30.98,31
"2013-04-09",38.99,38.99,38.98,38.99,40.99,40.98,40.99,40.99,40.99,40.98,38.99,39.99,38.99,37.98,38.99,37.98
"2013-04-11",39.99,36.99,37.99,38.99,38.99,38.99,40.99,38.99,40.99,35.99,37.99,35.99,36.99,35.99,35.99,35.99
"2013-04-15",38.99,37.98,37.99,37.99,39,37.99,38,38.99,37.99,36.99,37.99,37,35.99,35.99,34.99,36
"2013-04-17",36.99,35.99,35.99,36.99,37.99,37.98,37.99,37.99,36.99,35.99,35.99,34.98,32.99,36.99,35.99,36.99
"2013-04-19",38.99,41.99,41,39.99,40.99,40.98,41.99,38.98,41,39.99,40.99,37.98,39.99,37.99,37.98,35.98
"2013-04-23",40.99,40.99,40,39.99,40.99,41.99,42,40.99,41.99,41,40.99,38.99,40.99,39,38.99,38.99
"2013-04-25",39.99,39.99,38.99,39.99,40.99,41.99,40.99,41.99,42.99,40.99,40.99,40.99,38.99,39.99,38.99,39.99
"2013-09-23",43,42,42,42,43,42,42,42,42,41,43,42,43,41,42,42
"2013-10-22",45,44,44,42,44,44,45,43,44,43,44,42,43,41,42,40
"2013-10-24",42,41,41,42,40,42,43,43,42,42,42,43,42,42,41,41
"2013-10-28",39,38,40,39,38,39,39,40,40,37,37,36,44,43,43,40
"2013-11-01",37,37,35,36,37,36,36,36,34,35,33,33,38,35,34,34
