"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-01-23",2,2,2,2,3,2,2,3,2,3,3,3,2,3,3,3
"2013-01-25",3,2,3,2,3,2,3,2,3,2,3,3,2,3,3,3
"2013-01-29",2,3,3,3,3,2,3,2,3,3,2,3,3,2,2,2
"2013-01-31",4,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3
"2013-02-04",4,3,3,3,3,4,8,7,8,7,7,8,7,7,8,4
"2013-03-04",4,5,7,9,9,8,9,3,2,3,2,4,4,7,8,8
"2013-03-06",2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,1
"2013-03-08",2,2,3,2,2,3,2,2,3,2,2,3,2,2,2,2
"2013-03-12",0.4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"2013-10-22",4,4,3,3,2,2,2,2,2,3,3,3,2,3,2,2
"2013-10-24",3,10,11,10,8,3,3,2,4,4,11,12,12,12,11,8
