"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-02-25",57,58,60,60,59,60,58,58,57,59,58,57,55,53,54,54
"2013-02-27",58,55,56,57,58,56,56,54,56,54,56,52,52,53,50,51
"2013-03-01",56,55,53,54,55,54,53,52,52,53,52,52,49,48,48,47
"2013-03-04",47,45,45,46,45,43,44,44,45,44,43,44,41,40,40,38
"2013-03-06",48,44,45,46,47,45,45,43,45,44,45,43,42,41,39,41
"2013-03-08",46,44,41,43,46,44,43,43,43,40,41,38,41,41,39,36
"2013-03-12",44,43,44,43,46,44,42,42,41,41,39,39,41,56,55,54
"2013-03-20",38,35,38,37,35,37,36,37,34,37,34,35,43,42,42,40
"2013-03-22",39,40,38,39,39,39,38,36,35,35,33,34,41,42,41,41
"2013-03-26",51,50,49,49,49,48,49,49,49,47,48,46,55,52,51,51
"2013-03-28",50,47,48,48,47,48,49,46,46,45,43,46,46,53,53,54
"2013-04-01",58,58,56,58,58,55,55,55,55,53,55,53,53,50,52,49
"2013-04-03",59,57,55,56,57,56,57,56,56,52,53,52,50,52,54,51
"2013-04-05",56,53,54,55,53,52,52,51,51,50,47,48,48,44,44,42
"2013-04-09",53,52,54,53,57,56,54,55,55,56,56,57,59,53,52,50
"2013-04-11",53,53,54,55,56,54,55,54,54,55,54,54,52,53,51,51
"2013-09-26",60,61,61,62,64,61,60,60,60,60,60,60,59,57,54,55
"2013-10-22",63,73,59,57,61,55,55,62,62,60,71,61,53,51,50,52
"2013-10-24",58,57,56,58,59,58,63,65,66,73,64,63,54,56,52,52
"2013-10-28",57,52,59,51,59,58,64,61,66,56,58,57,57,53,51,53
"2013-11-01",48,45,44,48,45,45,44,43,41,39,42,40,48,43,42,41
"2013-11-05",58,61,49,49,48,48,47,46,47,45,45,44,58,55,56,55
"2013-11-07",51,60,54,48,49,50,48,48,47,45,45,43,54,54,53,53
