"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-04-05",38.33,37.27,32.57,35.67,36.2,35.71,41.21,38.49,37.4,43.15,40.47,43.19,43.71,42.9,24.59,17.05
"2013-04-09",30.31,40.01,35.98,42.51,35.86,37.46,38.12,39.2,35.83,37.64,37.1,39.64,36.22,39.52,35.65,38.31
"2013-04-11",37.87,45.97,32.27,41.8,37.2,40.71,38.64,38.13,40,37.03,38.41,36.33,38.8,35.06,39.15,36.14
"2013-04-15",28.93,25.81,29.14,30.66,27,27.99,30.44,26.67,28.13,30.03,26.93,26.05,29.96,26.38,28.11,30.31
"2013-04-17",32.7,26.91,32.14,29.53,28.19,28.15,30.07,27.12,29.96,30.77,27.38,29.86,30.08,26.97,29.95,30.39
"2013-04-19",39.65,29.23,35.22,35.58,30.53,34.51,33.76,30.57,33.65,34.23,29.93,32.95,35.89,31.88,34.95,35.7
"2013-04-23",31.8,29.3,29.19,34.02,30,31.15,29.96,28.76,30.4,32.45,29.46,28.33,32.04,29.47,29.29,31.31
"2013-04-25",31.48,28.48,30.08,30.67,28.4,28.5,30.53,27.79,30.74,29.64,27.56,31.06,30.25,27.87,30.11,29.89
"2013-05-20",43.29,44.31,43.2,43.11,43.11,41.34,44.21,42.21,42.28,41.66,43.89,41.13,42.39,42.48,41.3,40.97
"2013-05-22",44.2,40.5,42.99,40.39,40.64,41.55,38.63,41.55,40.11,39.07,42,41.48,38.75,39.59,39.9,40.71
"2013-05-24",37.83,39.05,42.01,37.39,40.53,39.02,38.27,39.82,40.46,38.76,39.28,39.88,38.32,39.1,37.94,40.11
"2013-05-28",42.89,40.98,40.19,42.21,42.17,40.19,42.53,41.3,41.97,41.54,43,42.63,42.47,42.01,42.9,42.05
"2013-05-30",44.03,42.27,43.26,41.93,44.03,40.86,42.87,43.66,43.48,41.45,43.55,41.37,41.81,43.32,42.72,41.49
"2013-06-03",33.5,28.96,31.69,32.19,28.74,31.09,32.84,28.68,33.09,30.86,29.47,14.57,12.71,25.97,30.36,32.65
"2013-06-05",31.33,28.87,30.24,31.16,30.33,29.23,32.85,27.79,31,30.84,29.84,29.29,31.86,28.76,31.15,31.99
"2013-06-07",40.08,37.63,40.25,36.52,38.33,39.06,35.31,39.58,38.15,37.67,38.74,34.5,29.79,29.68,31.07,31.65
"2013-06-09",40.64,40.25,40.53,40.9,39.21,41.55,40.9,40.37,41.54,40.06,41.62,39.82,40.18,41.11,41.05,37.89
"2013-06-10",43.56,44.67,41.93,42,43.26,42.81,41.48,43.17,43.01,41.04,42.81,42.85,42.81,43.33,41.97,40.56
"2013-06-12",39.62,41.54,38.88,40.16,40.34,41.84,40.87,42.39,41.25,43.15,41.98,43.57,42,43.64,42.44,40.25
"2013-06-14",44.03,45.25,44.28,44.47,44.5,41.94,45.14,42.74,43.94,41.94,44.03,43.6,39.18,43.69,42.47,41.95
"2013-06-18",35.15,30.13,33.88,33.46,30.56,33.24,33.97,30.74,33.31,32.21,31.52,31.78,34.11,29.78,34.31,32.21
"2013-06-20",35.23,31.84,33.14,31.76,31.04,29.97,33.59,28.22,32.99,31.48,31.76,31.97,34.87,31.11,31.69,32.52
"2013-06-24",32.15,28.2,27.64,35.33,28.25,29.78,31.5,29.51,30.37,33.57,29.52,30.9,33.36,30.19,30.83,33.27
"2013-06-26",36.15,29.08,32.17,31.31,31.94,30.78,33.24,30.7,30.36,36.24,34.14,33.86,35.65,33.93,35.92,33.5
