"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-01-23",3.77,3.76,3.76,3.72,3.64,3.43,3.62,3.64,3.74,3.59,3.91,3.62,3.77,3.65,3.62,3.57
"2013-01-25",3.37,3.46,3.64,3.62,3.71,3.52,3.51,3.57,3.89,3.78,3.77,3.74,3.88,4,3.53,3.39
"2013-01-29",4.16,4.46,4.37,4.46,4.28,4.28,4.18,4.53,4.34,4.32,4.12,3.68,3.33,3.8,3.62,3.83
"2013-01-31",3.61,3.68,3.72,3.8,3.67,3.6,3.55,3.6,3.56,3.58,3.51,3.35,3.39,3.25,3.16,3.15
"2013-02-04",3.16,3.14,3.36,3.19,3.25,3.15,3.14,3.44,3.17,3.23,3.04,3.04,3,2.96,3.14,3.24
"2013-02-06",3.34,3.16,3.1,3.15,3,2.81,2.59,2.51,2.33,2.63,2.52,2.62,2.62,2.8,3.08,3.2
"2013-02-08",2.93,2.87,3.15,3.42,3.12,2.93,3.02,3.07,3.09,3.17,3.06,3.11,3.07,2.97,2.86,2.61
"2013-02-12",3.77,3.57,2.88,3.06,2.53,2.63,2.49,2.66,2.69,2.56,2.49,2.58,2.49,2.39,2.35,2.28
"2013-02-14",2.95,2.88,2.86,2.92,2.86,2.78,2.71,2.61,2.61,2.53,2.72,2.43,2.54,2.49,2.44,2.49
"2013-02-26",3.45,3.4,3.5,3.13,3.23,3.06,3.23,3.6,3.7,3.78,3.64,3.52,3.54,3.28,3.38,3.3
"2013-02-28",2.91,3.52,3.27,3.28,3.69,4.58,4.33,4.25,4,3.64,3.65,3.59,3.41,3.18,3.18,3.26
"2013-03-04",4.08,4.2,3.98,3.93,3.95,3.82,4,4.02,3.89,3.51,3.56,3.47,3.45,3.31,3.46,3.02
"2013-03-06",4.48,4.22,4.18,3.98,3.94,3.97,3.99,4.11,4.12,4.02,4.1,3.79,4.02,3.96,3.85,3.39
"2013-03-08",3.63,3.53,3.48,3.65,3.15,2.94,3.03,2.93,2.95,2.95,2.83,2.76,2.78,2.57,2.49,2.46
"2013-03-12",0.9,0.9,0.9,0.9,4.27,4.2,4.28,4.11,4.25,4.01,4.07,4,4.09,3.92,3.6,3.21
"2013-03-18",2.45,2.46,2.43,2.56,2.49,2.54,2.46,2.46,2.81,2.67,2.41,2.22,2.01,2.02,2,2.08
"2013-03-20",3.19,2.97,2.9,3.07,2.87,2.71,2.79,2.7,2.72,2.41,2.31,2.27,2.27,2.11,2.13,2.19
"2013-03-22",3.11,3.25,3.15,3.2,3.24,3.24,3.12,2.27,2.14,2.16,2.24,2.09,2.09,2.03,2.03,2.06
"2013-03-26",2.84,2.96,2.94,2.89,2.84,2.93,2.56,2.4,2.29,2.45,2.22,2.19,2.22,2.22,2.31,2.07
"2013-03-28",3.71,3.44,3.44,2.86,2.3,2.21,2.11,2.1,2.16,2.24,2.21,2.17,2.11,2.06,2.15,2
"2013-04-01",2.39,2.36,2.4,2.35,3.06,3.1,3.15,3.17,3.32,3.29,3.36,2.95,2.82,2.76,2.66,2.62
"2013-04-03",2.78,2.93,2.83,2.54,2.46,2.71,2.88,3.44,3.47,3.31,3.08,2.91,2.79,2.89,2.65,2.66
"2013-04-05",2.41,2.47,2.56,2.6,2.42,2.55,2.67,2.83,3.28,3.17,3.03,2.71,2.76,2.66,2.51,2.51
"2013-04-09",2.41,1.95,1.96,2.42,2.67,2.76,2.72,2.7,2.7,2.67,2.75,3.41,3.44,3.23,3.05,2.98
"2013-04-11",3.05,3.03,3.04,4.02,4.02,4.25,4.12,4.19,4.06,3.75,3.56,3.44,3.44,3.3,3.31,3.21
"2013-10-22",3.82,3.88,3.86,3.96,3.79,3.83,3.86,3.89,3.66,3.66,3.66,3.8,3.91,3.67,3.57,3.29
"2013-10-24",4.71,4.66,4.83,4.85,4.39,3.73,3.68,3.6,3.6,3.65,3.51,3.63,3.69,3.73,3.62,3.62
"2013-10-28",2.46,2.5,2.45,2.45,2.5,2.43,2.45,2.56,2.44,2.31,2.45,2.31,2.56,2.81,2.59,2.55
