"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-03-18",11,11,10,12,11,12,11,12,12,12,11,12,12,12,11,11
"2013-03-20",11,12,11,12,11,11,11,11,11,10,11,11,13,14,13,13
"2013-03-22",10,11,10,11,11,11,11,11,11,11,11,11,13,13,13,13
"2013-03-26",13,13,14,14,13,15,14,13,14,13,13,13,17,16,17,16
"2013-03-28",13,13,13,13,13,13,13,13,14,13,14,13,17,17,17,16
"2013-04-01",13,13,13,14,13,14,14,14,14,14,14,13,15,14,14,15
"2013-04-03",15,14,14,14,14,14,13,13,13,14,13,13,14,14,14,14
"2013-04-05",13,12,12,12,12,12,12,12,12,12,12,11,12,11,11,12
"2013-04-09",15,14,14,15,14,15,14,15,15,14,15,14,15,14,14,14
"2013-04-11",12,11,12,13,12,13,12,13,12,13,12,13,14,13,13,13
"2013-04-15",15,15,15,15,15,15,15,15,16,16,16,16,17,17,17,16
"2013-04-17",14,15,15,15,16,16,16,16,17,16,16,17,17,18,17,17
"2013-04-19",15,15,16,15,16,15,16,15,15,15,15,14,14,15,14,15
"2013-04-23",16,15,16,16,17,17,17,16,17,17,17,17,17,17,17,17
"2013-04-25",15,15,16,15,16,16,16,16,17,17,17,16,17,17,16,17
"2013-10-22",15,14,13,14,13,14,13,14,13,14,13,13,13,13,13,12
"2013-10-24",14,13,13,14,13,14,14,14,15,14,14,14,14,14,13,13
"2013-10-28",12,12,12,12,12,12,12,12,13,12,13,13,15,15,15,16
"2013-11-01",12,12,12,11,13,13,13,13,13,13,13,13,14,15,14,15
"2013-11-05",13,14,14,14,13,14,14,14,14,13,14,14,13,14,12,14
