"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-02-25",26,25,25,25,25,26,23,26,25,25,26,25,24,23,23,22
"2013-02-27",24,24,24,25,26,25,25,27,25,27,26,26,25,26,24,23
"2013-03-01",22,23,24,22,22,23,22,21,22,20,23,21,20,22,21,20
"2013-03-04",23,22,20,22,22,24,23,21,23,23,23,23,23,22,22,21
"2013-03-06",23,22,23,24,24,24,23,22,24,23,23,23,24,23,22,22
"2013-03-08",22,22,22,22,21,20,22,20,21,22,21,21,20,20,19,19
"2013-03-12",23,21,23,23,22,23,22,22,21,23,22,23,20,22,21,20
"2013-03-20",17,18,19,18,18,19,18,17,17,18,15,17,20,18,19,20
"2013-03-22",18,16,16,16,18,16,16,16,16,16,16,16,18,18,18,17
"2013-03-26",23,23,23,24,24,21,23,24,22,22,21,21,22,22,23,21
"2013-03-28",22,24,24,25,23,22,21,22,21,21,22,19,22,21,21,20
"2013-04-01",25,25,25,25,26,24,24,24,22,24,23,22,23,21,22,20
"2013-04-03",24,24,24,23,23,24,24,23,23,22,22,23,20,22,20,22
"2013-04-05",20,22,20,20,19,20,19,20,20,17,20,18,17,19,19,17
"2013-04-09",25,24,25,26,24,25,24,24,23,24,25,24,24,24,25,22
"2013-04-11",25,23,24,21,24,23,23,22,25,23,24,23,23,22,22,21
"2013-09-23",27,27,28,27,27,26,27,27,25,27,26,26,26,27,29,30
"2013-09-26",28,29,29,29,29,29,28,29,28,28,29,27,28,27,27,26
"2013-10-22",25,25,25,25,24,24,24,25,24,27,23,23,23,24,25,23
"2013-10-24",24,24,25,25,24,24,23,24,24,24,23,24,22,23,24,23
"2013-10-28",25,24,25,24,24,25,22,24,22,23,22,22,30,25,25,26
"2013-11-01",20,19,20,19,20,18,18,18,17,17,17,17,24,23,21,23
"2013-11-05",25,24,23,24,23,23,24,24,22,23,23,23,31,31,30,31
