"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-03-18",17,16,17,16,17,17,17,18,17,18,17,17,17,18,17,17
"2013-03-20",18,19,19,18,18,19,19,18,19,19,18,18,19,18,18,18
"2013-03-22",17,17,18,19,18,18,19,18,19,18,18,18,18,17,17,18
"2013-03-26",23,24,25,25,27,26,25,25,26,27,26,27,28,26,27,26
"2013-03-28",23,26,25,28,26,26,26,26,26,26,27,26,26,26,25,25
"2013-04-01",25,25,24,23,25,24,24,25,25,26,25,25,28,26,27,26
"2013-04-03",23,23,23,27,24,26,28,25,26,26,26,28,26,27,27,29
"2013-04-05",22,24,23,25,23,25,23,24,24,25,23,26,23,23,26,23
"2013-04-09",22,22,22,25,24,25,25,25,25,25,23,27,25,25,25,24
"2013-04-11",23,24,22,26,25,28,26,26,27,26,26,28,26,26,27,27
"2013-04-15",22,23,23,23,24,23,25,23,22,24,23,22,23,22,25,23
"2013-04-17",22,22,25,24,23,24,23,24,24,24,24,23,26,24,24,25
"2013-04-19",23,23,23,23,23,24,22,24,22,22,24,24,24,25,24,22
"2013-04-23",25,23,24,23,26,25,26,26,26,26,27,27,26,25,25,24
"2013-04-25",23,23,24,23,26,26,25,26,26,25,24,25,26,23,25,23
"2013-10-22",25,25,24,27,27,26,27,27,28,29,27,28,28,28,26,27
"2013-10-24",26,26,25,28,26,27,26,27,26,28,25,27,26,27,25,27
"2013-10-28",28,25,28,28,27,27,27,28,27,28,28,27,25,25,24,25
"2013-11-01",25,25,27,27,28,26,29,28,28,27,27,28,25,24,23,22
"2013-11-05",26,26,24,26,28,27,25,29,26,27,27,28,28,29,27,26
"2013-11-07",25,24,26,26,25,27,26,26,26,27,28,27,27,27,27,27
"2013-11-11",24,25,23,25,24,27,27,26,26,27,26,28,26,24,24,27
