"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2012-01-19",6.19,6.36,6.65,6.07,5.87,6.21,5.98,5.79,7.3,7.74,7.39,7.47,7.76,7.29,7.64,8.09
"2012-01-24",8.3,7.62,8.63,7.08,7.93,7.41,7.43,8.06,7.77,7.86,7.35,7.64,7.19,7.54,7.5,6.53
"2012-01-26",8.37,8.71,8.04,8.1,7.46,7.8,7.48,7.3,7.7,7.39,7.71,8,7.59,7.48,7.89,7.54
"2012-04-02",6.32,6.01,6.15,6.68,7.38,7.17,6.64,7.39,6.12,6.83,6.5,6.37,5.76,5.97,5.61,5.31
"2012-04-06",5.19,4.95,5.1,4.99,5.42,4.89,4.83,5.19,4.87,4.93,4.72,4.78,4.97,4.81,5.1,4.53
"2012-04-10",5.99,6.02,6.19,5.51,5.94,6.05,5.73,5.83,6.06,6.12,5.6,6.05,5.71,6.11,6.17,5.48
"2012-04-12",6.4,6.02,6.73,6.16,5.67,4.93,5.1,5.08,5.09,4.92,5.32,5.22,5.23,4.94,5.24,5.17
"2012-04-18",6.35,6,6.25,6.11,6.29,6.51,7.12,6.4,6.33,6.57,5.98,5.81,6,5.67,5.74,5.18
"2012-06-06",4.1,4.5,4.95,4.77,4.15,4.46,4.71,4.8,4.04,4.45,4.7,4.66,4.22,4.58,4.95,4.29
"2012-06-11",3.61,3.59,3.59,3.58,3.59,3.54,3.58,3.77,3.6,3.58,3.62,3.71,3.64,3.89,3.91,3.94
"2012-07-23",6.79,7.36,6.73,6.61,6.67,6.57,6.41,6.88,6.59,6.53,6.38,6.92,6.29,6.22,5.93,5.73
"2012-07-25",6.77,6.83,6.69,6.61,6.58,6.95,6.54,6.46,6.44,6.7,6.5,6.61,6.72,6.21,5.93,5.49
"2012-07-27",7.05,6.92,7.33,6.87,6.83,6.7,6.45,6.42,6.27,6.36,6.69,6.7,7.05,6.4,6.1,5.95
"2012-07-31",6.21,6.71,6.7,6.17,7.16,6.26,6.15,6.15,6.19,6.25,6.65,6.66,7.01,6.56,6.3,6.05
"2012-08-02",6.81,6.89,6.79,6.9,7.63,6.5,6.55,6.48,6.65,6.99,6.36,6.65,6.58,6.58,6.3,6.44
"2012-11-26",7.72,6.66,6.23,7.18,6.32,6.68,6.93,6.59,6.73,7.14,6.57,6.53,6.4,6.05,5.92,6.09
"2012-11-30",6.12,6.04,6.71,6.63,6.43,6.58,6.14,6.21,6.82,5.61,5.56,5.7,5.74,5.38,5.59,5.27
"2012-12-04",6.21,6.34,6.76,6.4,6.33,6.44,6.59,6.01,6.13,6.12,5.89,6.43,5.83,5.67,6.45,5.91
"2012-12-06",5.38,5.79,6.69,5.86,6.73,6.86,5.23,5.62,6.45,6.01,6.63,6.73,6.8,6.43,6.77,6.6
"2013-03-18",6.23,6.23,6.17,6.39,6.74,6.27,6.26,6.24,6.22,6.28,6.29,6.42,6.22,6.18,6.09,6.06
"2013-03-20",6.85,7.02,6.66,4.92,5.26,5.4,4.93,5.17,5.42,4.84,5.18,5.22,5.35,5.4,4.95,4.21
