"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-03-18",16.67,16.83,16.35,16.31,16.41,16.73,16.9,17.13,17.37,17.06,17.44,17.55,17.26,17.23,17.44,17.51
"2013-03-20",18.69,18.24,17.98,17.69,17.24,17.15,17.1,17.67,17.39,17.24,17.16,17.68,18.07,18.26,17.71,17.58
"2013-03-22",17.82,17.85,18.05,18.5,18,18.5,18.5,18.57,18.69,18.44,18.39,18.5,18.2,18.01,18.1,18.2
"2013-03-26",20.35,20.05,20.05,20.36,20.95,20.91,20.9,20.8,20.3,19.84,19.88,19.62,19.63,19.36,19.52,19.1
"2013-03-28",22.85,19.56,19.63,19.59,20.96,20.79,20.36,20.17,19.16,19.2,19.2,18.41,18.83,18.48,18.81,18.2
"2013-04-01",25.27,25.34,26.12,26.38,26.43,25.72,26.11,26.37,26.41,26.46,26.49,25.43,25.28,25,24.82,24.99
"2013-04-03",25.07,25.12,25.43,25.26,25.67,25.69,25.9,25.92,25.9,25.32,26.38,25.32,25.07,25.03,24.95,25.13
"2013-04-05",24.03,24.15,23.86,23.87,24.57,24.54,24.58,25.47,24.62,24.31,24.63,24.92,24.79,24.42,24.79,24.2
"2013-04-09",23.46,25.14,24.63,26.4,24.35,26.69,26.24,25.87,25.88,26.91,26.55,25.59,26.03,25.45,24.89,24.97
"2013-04-11",23.96,25.79,22.37,24.11,24,23.7,24.38,24.87,25.64,25.36,24.49,24.63,24.36,24.31,24.34,23.81
"2013-04-15",20.7,20.08,20.94,20.68,21.25,20.62,20.96,20.54,20.85,21.08,20.59,21,20.55,20.52,19.74,19.78
"2013-04-17",20.2,20.07,20.01,20.22,20.31,20.12,20.79,20.26,20.86,20.93,21.02,20.66,20.43,20.35,19.58,19.45
"2013-04-19",19.25,19.22,19.19,18.87,19.43,18.91,19.17,19.31,19.02,18.71,18.52,18.28,18.9,18.96,18.34,18.35
"2013-04-23",19.97,20.35,20.47,20.3,20.38,20.19,19.53,18.77,18.94,18.44,19.19,18.18,18.85,19,18.57,18.47
"2013-04-25",19.74,19.91,19.67,19.49,20.75,20.22,20.16,19.99,20.52,20.21,19.96,20.04,19.97,19.33,19.15,18.86
"2013-10-22",20.97,18.58,17.76,18.27,19.25,19.47,18.94,18.75,18.46,17.98,18.49,18.04,18.46,18.11,18.16,18.23
"2013-10-24",21.02,18.82,18.43,18.36,18.55,17.04,17.14,17.01,17.31,17.19,17.83,18.02,17.48,18.08,17.4,17.85
"2013-10-28",24.5,24.31,24.04,24.14,24.81,25.34,24.8,24.21,24.36,23.42,23.01,23.12,23.89,23.67,22.52,22.74
"2013-11-01",22.94,23.22,22.73,22.98,22.58,22.84,22.83,22,22.48,21.9,22.07,21.83,21.85,21.48,21.21,21.26
"2013-11-05",22.86,22.91,23.07,23.26,23.22,22.5,22.53,22.28,23.19,23.3,23,23.24,23.39,23.56,23.43,23.57
"2013-11-07",23.35,23.61,22.84,23.51,23.06,22.58,22.61,23.31,23.72,23.76,23.13,23.3,23.97,24.22,23.93,24.26
