"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2012-01-23",14,14,16,15,15,15,15,15,16,16,16,16,15,16,15,15
"2012-01-25",14,14,15,14,14,15,16,15,17,16,16,17,16,16,17,16
"2012-01-27",15,14,15,15,15,15,15,15,15,15,14,14,15,14,14,14
"2012-04-23",17,17,17,17,17,17,18,17,17,17,18,18,17,17,17,17
"2012-04-25",15,14,15,15,16,16,15,16,16,17,17,16,17,16,16,16
"2012-04-27",15,14,15,14,14,15,14,15,14,15,14,15,14,15,15,14
"2012-05-15",13,12,12,12,12,12,13,13,14,13,13,14,14,13,14,13
"2012-05-17",12,13,12,13,13,12,12,12,13,11,12,12,12,12,12,12
"2012-05-22",13,13,12,12,10,11,10,11,11,11,11,11,11,12,11,11
"2012-05-30",11,10,11,11,12,11,11,12,12,10,11,11,11,11,11,11
"2012-06-04",10,10,10,10,10,10,10,10,9,10,9,10,10,10,10,10
"2012-06-08",10,10,10,9,11,10,10,11,10,11,10,10,11,10,11,10
"2012-06-11",10,10,11,11,10,11,10,11,11,10,11,11,10,11,12,10
"2012-06-13",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10
"2012-06-15",10,11,10,11,11,10,10,11,11,11,10,11,11,11,11,10
"2012-06-20",11,10,12,11,11,11,11,12,11,12,12,12,12,12,12,11
"2012-06-22",11,11,11,11,11,10,11,10,11,10,11,10,11,11,11,11
"2012-06-25",10,10,9,10,9,10,10,10,9,10,9,10,9,10,10,9
"2012-06-27",11,11,12,11,10,10,11,10,11,10,11,11,10,10,10,11
"2012-06-29",11,10,11,11,10,10,9,9,10,10,9,9,9,9,9,9
"2012-07-23",8,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9
"2012-07-25",9,9,10,9,9,10,10,9,10,9,10,9,10,9,9,10
"2012-07-27",9,10,10,10,10,10,10,10,10,10,11,10,10,10,10,9
"2012-07-31",10,10,11,10,10,11,11,11,11,10,11,10,10,11,10,11
"2012-08-02",9,10,9,10,10,10,10,10,10,10,10,10,10,11,10,11
"2012-11-26",16,16,16,15,15,16,16,16,15,17,16,17,17,17,18,18
"2012-11-30",15,15,16,15,17,17,18,18,18,18,18,17,18,18,17,17
"2012-12-04",16,16,18,17,17,18,16,17,17,16,18,17,17,17,16,17
"2012-12-06",16,16,15,17,16,18,18,17,18,18,18,19,18,19,18,18
"2012-12-10",12,13,13,12,13,13,13,13,14,13,13,14,14,14,14,14
"2012-12-14",13,13,14,14,13,14,14,14,14,14,14,14,14,14,15,14
"2013-01-15",13,14,13,13,13,13,14,13,14,14,14,14,14,14,14,13
"2013-01-17",12,12,11,12,12,11,13,12,12,13,13,13,12,13,13,13
"2013-01-23",14,14,14,14,14,15,14,14,14,15,15,14,15,14,13,15
"2013-01-25",14,12,12,12,12,12,12,12,12,12,11,12,13,12,13,13
"2013-01-29",14,14,14,14,14,13,14,13,13,14,13,13,14,14,14,14
"2013-01-31",16,17,16,17,17,17,17,17,17,17,18,17,18,17,18,17
"2013-02-04",16,16,16,17,17,16,17,17,16,17,17,17,17,17,17,16
"2013-03-04",15,14,15,16,15,16,16,15,16,16,16,16,16,17,15,15
"2013-03-06",17,16,16,17,16,17,18,17,18,17,17,15,16,16,14,15
"2013-03-08",15,15,14,15,14,15,14,14,14,13,14,14,13,13,14,13
"2013-03-12",2.6,14,15,14,15,15,16,15,16,15,15,15,14,15,14,14
"2013-03-18",11,11,10,12,11,12,11,12,12,12,11,12,12,12,11,11
"2013-03-20",11,12,11,12,11,11,11,11,11,10,11,11,13,14,13,13
"2013-03-22",10,11,10,11,11,11,11,11,11,11,11,11,13,13,13,13
