"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-03-18",4,4,4,4,4,4,4,5,4,5,4,4,4,3,4,3
"2013-03-20",4,3,4,3,4,3,4,3,4,4,4,3,3,3,3,3
"2013-03-22",4,4,4,4,4,4,3,4,3,4,4,4,3,4,3,3
"2013-03-26",4,4,3,4,4,4,4,4,4,4,3,4,4,3,3,4
"2013-03-28",5,4,4,4,4,4,5,4,5,4,5,4,4,5,4,3
"2013-04-01",4,4,5,3,4,4,4,3,5,4,4,4,4,4,3,4
"2013-04-03",3,5,4,4,4,3,4,4,4,5,4,5,4,4,4,4
"2013-04-05",4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3
"2013-04-09",4,4,5,4,3,4,4,4,4,3,4,4,4,4,4,4
"2013-04-11",4,4,4,5,4,4,4,5,4,4,3,5,4,5,4,5
"2013-04-15",5,4,4,5,4,4,5,4,4,3,4,4,4,3,4,4
"2013-04-17",5,5,5,5,5,4,4,4,4,3,4,4,4,5,4,4
"2013-04-19",5,4,4,4,4,4,4,5,3,4,5,3,4,4,4,3
"2013-04-23",5,5,6,5,5,5,5,5,4,5,4,4,4,3,4,4
"2013-04-25",5,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4
"2013-10-22",4,4,5,4,4,4,3,4,5,5,4,4,4,4,4,4
"2013-10-24",4,5,4,5,4,4,4,4,5,4,4,5,4,5,4,5
"2013-10-28",4,4,4,3,4,5,4,4,4,4,3,4,5,5,4,5
"2013-11-01",4,3,4,3,4,4,4,4,4,3,3,4,4,3,4,4
"2013-11-05",4,5,5,4,5,4,4,4,4,4,4,3,4,4,5,5
"2013-11-07",4,4,4,5,4,5,4,3,5,5,4,5,4,4,4,5
