"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-02-25",5.74,5.09,5.46,5.3,5.29,5.16,5.1,5.09,5.29,5.1,5.22,5.57,4.97,4.74,4.75,4.77
"2013-02-27",6.19,5.93,5.59,5.93,6.05,5.68,5.66,5.51,5.91,5.92,5.94,5.98,5.38,5.65,5.48,5.35
"2013-03-01",6.67,6.17,6.46,5.69,5.52,5.99,5.65,5.59,5.49,5.12,5.07,5.14,5.28,5.18,4.71,4.75
"2013-03-04",5.38,5.04,5.06,5.32,5.45,5.1,5.37,4.98,4.98,4.94,5.39,5.05,4.96,4.67,4.6,4.97
"2013-03-06",4.89,5.06,5.62,5.35,5.29,5.08,5.29,5.32,5.22,5.38,5.13,4.76,5.01,4.8,4.79,4.55
"2013-03-08",6.77,6.01,5.88,5.81,5.96,6.08,5.85,5.66,5.23,4.91,4.87,5.05,4.75,4.88,4.63,4.62
"2013-03-12",1.28,1.28,1.28,1.28,6.33,5.48,5.66,5.71,6.13,5.97,5.73,5.47,5.24,5.04,5.09,4.74
"2013-03-18",4.7,4.44,4.25,3.95,4.15,3.84,3.84,3.8,4.03,4.17,4.17,4.15,4.12,4.06,3.84,3.75
"2013-03-20",5.05,5.14,5.13,4.96,4.73,4.74,4.79,4.83,4.76,4.89,4.77,4.82,4.75,4.69,4.74,4.58
"2013-03-22",3.86,3.93,3.93,4.49,4.23,4.31,4.15,4.16,3.98,3.94,3.96,4.11,4.38,4.36,4.18,3.88
"2013-03-26",5.82,6.06,6.24,5.75,6.35,5.88,5.7,6.05,5.71,5.71,5.76,5.19,5.12,4.9,5.09,4.55
"2013-03-28",7.06,6.47,5.72,5.88,5.72,5.66,5.38,5.3,5.47,5.5,6.24,6.36,6.36,5.19,5.03,5.28
"2013-04-01",6.53,6.15,6.34,5.72,5.89,5.18,5.04,4.93,5.14,4.91,4.73,4.98,5.05,4.98,4.82,4.9
"2013-04-03",5.9,5.6,5.49,5.94,6.06,5.72,5.77,5.85,5.43,5.4,5.34,5.46,5.47,5.53,5.6,5.49
"2013-04-05",5.87,5.61,5.74,5.15,5.51,5.47,5.79,5.55,5.37,5.31,5.38,5.28,5.26,5.11,5.07,5.08
"2013-09-24",5.85,5.65,5.44,5.58,5.72,6.22,5.97,5.97,5.73,5.73,5.74,5.51,5.11,4.85,4.63,4.58
"2013-09-26",6.09,5.72,5.65,5.5,6.04,5.49,5.75,6,5.58,5.58,5.85,5.53,5.79,5.42,4.81,4.86
"2013-10-22",5.88,5.56,5.16,5.54,5.23,5.41,5.57,5.84,5.5,5.29,5.87,5.84,5.48,5.12,5.05,4.86
"2013-10-24",6.62,5.66,5.65,5.64,5.69,5.71,5.49,5.74,5.24,5.56,5.25,5.44,5.14,5.29,5.21,5.15
"2013-10-28",4.7,4.64,4.26,4.24,4.2,4.33,4.05,4.09,3.93,4.02,4,4.08,4.24,4.29,3.72,3.76
"2013-11-01",4.84,4.63,4.36,4.27,4.29,4.56,4.49,4.53,4.56,4.53,4.28,3.91,4.06,3.86,3.69,3.81
"2013-11-05",5.89,5.53,5.39,5.24,5.32,4.93,5.81,5.07,5.05,5.41,5.64,5.29,4.95,4.39,4.39,4.87
"2013-11-07",5.48,5.19,5.24,5.28,5.27,5.45,5.66,5.62,5.21,5.06,5.23,5.71,5.31,5.27,4.92,5.36
