"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2012-11-26",46.72,49.17,49.31,49.22,48.73,46.5,48.9,48.33,48.74,48.96,48.42,51.19,51.17,52.16,51.99,53.24
"2012-11-30",50.85,50.07,50.06,51.35,54.11,53.34,53.1,49.53,50.32,51.23,51.18,51.14,51,51.09,53.49,47.94
"2012-12-04",46.64,47.72,46.79,48.7,49.96,49.02,49.6,48.18,49.52,49.7,50.59,50.89,53.13,52.42,53.04,52.1
"2012-12-06",47.93,52.34,51.61,51.08,49.5,53.23,45.09,47.89,46.74,47.32,46.34,45.39,45.29,46.92,48.94,50.09
"2013-03-04",45.06,44.76,45.01,45.89,46.95,46.18,46.55,47.4,47.63,47.08,48.05,47.77,48.16,47.52,47.47,46.25
"2013-03-06",46.78,46.15,46.21,47.81,47.6,49,49.64,49.41,48.72,49.63,53.29,47.79,50.41,51.64,50.57,48.88
"2013-03-08",49.27,48.42,50.31,50.42,51.25,49.77,49.91,49.89,50.46,49.93,48.15,48.5,48.08,48.6,50.08,49.7
"2013-03-12",8.99,8.99,8.99,8.99,46.02,44.91,42.67,43.23,44.35,44.61,45.53,48.16,47.01,47.32,46.54,47.98
"2013-10-22",45.09,41.28,42.05,42.2,43.02,45.18,45.71,44.02,44.23,44.11,46.36,47.27,48.03,45.73,46.32,46.45
"2013-10-24",48.93,47.87,48.71,46.2,44.23,41.62,42.9,45.84,45.57,46.58,49.6,46.57,46.22,45.78,47.08,47.23
