"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-03-18",42.02,40.55,41.11,41.08,41.1,41.14,41.44,40.34,43.47,40.89,41.41,40.77,40.76,39.89,39.03,38.58
"2013-03-20",43,42.05,41.83,41.96,42.48,42.39,43.29,42.6,41.91,41.79,41.62,42.98,41.8,41.42,40.65,40.7
"2013-03-22",42.05,42.42,42.66,42.62,43.17,42.28,41.85,41.51,42.67,41.88,42.01,41.5,41.14,40.67,40.6,39.64
"2013-03-26",49.73,49.37,51,50.26,50.88,50.64,50.23,50.46,51.27,53.51,49,46.16,48.3,47.64,49.84,46.73
"2013-03-28",52.96,49.34,49.89,50.12,49.75,49.91,49.1,48.79,48.71,48.77,48.99,48,48.25,48.96,47.22,46.44
"2013-04-01",41.67,40.84,40.61,41.24,40.66,39.76,39.74,40.98,39.74,38.76,38.78,37.68,37.7,37.39,38.19,37.32
"2013-04-03",43.94,40.65,40.95,41.38,41.43,40.56,41.03,41.28,41.32,40.88,41.05,40.54,39.94,40.81,40.39,39.24
"2013-04-05",40.03,37.59,36.75,37.46,37.57,37.51,37.48,37.4,37.61,37.71,35.7,34.44,35.97,34.89,34.83,35.07
"2013-04-09",46.17,41.69,38.74,41.41,42.92,41.46,41.49,42.05,41.4,41.62,41.88,41.16,41.03,40.46,39.97,40.51
"2013-04-11",46.1,45.9,46.12,45.7,45.7,46.1,45.35,45.8,46.03,45.55,45.77,44.58,43.71,43.78,44.46,43.97
"2013-04-15",51.4,49.77,49.74,51.34,50.67,49.93,50.2,50.32,49.62,50.62,50.04,49.57,49.81,49.27,49.56,51.28
"2013-04-17",52.87,52.35,52.46,53.42,53.1,53.33,52.48,52.07,52.5,51.97,51.74,52.2,51.19,51.19,50.07,49.82
"2013-04-19",49.7,49.82,49.99,50.93,50.36,49.88,50.13,48.94,49.22,49.06,49.08,50.21,49.96,52.21,48.77,48.18
"2013-04-23",54.46,54.68,53.8,55.3,55.26,55.33,55.28,54.9,53.84,55.16,53.79,54.21,55.7,53.35,52.28,52.46
"2013-04-25",52.04,51.33,53.1,53.7,53.08,54.23,51.96,51.4,51.52,53.9,52.56,51.85,52.77,51.82,54.72,50.22
"2013-05-20",55.35,54.93,56.64,55.75,55.66,55.56,55.24,56.06,55.67,54.51,54.19,53.65,54.03,51.96,50.88,50.55
"2013-05-22",48.46,45.04,44.51,44.09,45.41,44.97,44.04,44.01,43.56,43.25,44.02,42.97,43.38,42.29,42.17,41.4
"2013-05-24",43.56,41.86,42.74,41.94,41.97,41.73,41.43,42.06,40.77,41.37,39.88,39.96,39.79,38.56,38.47,37.59
"2013-05-28",55.18,53.25,53.84,53.7,54.85,53.1,52.83,52.89,53.47,53.51,53.57,53.78,53.15,52.06,52.06,51.58
"2013-05-30",52.68,51.49,52.44,52.12,51.3,52.35,52.11,51.04,51.09,51.43,52.29,52.42,51.12,50.6,49.87,51.53
"2013-06-03",54.87,53.73,53.58,53.96,53.95,54.78,54.87,53.6,53.58,53.23,52.73,53.86,52.91,53.03,52.44,51.51
"2013-06-05",49.03,49.59,50.17,50.87,51.05,49.96,50.16,50.81,50.07,49.87,49.84,43.59,42.38,49.73,48.6,47.85
"2013-06-07",47.18,46.83,46.99,49.55,49.96,50.07,49.13,48.05,47.95,47.99,48.18,48.39,46.84,46.85,46.81,45.07
"2013-06-09",24.11,18.84,25.84,19.01,25.45,19.92,24.55,21.54,22.12,21.65,20.86,23.83,19.55,25.19,18.97,26.36
"2013-06-10",56.05,58.2,57.36,57.46,58.02,57.33,56.53,55.12,56.58,56.18,56.05,56.08,55.35,54.52,53.81,53.97
"2013-06-12",52.89,53.15,52.7,53.44,54.75,54.05,54.64,54.3,54.16,55.61,54.46,54.56,53.47,53.88,53.38,52.46
"2013-06-14",51.5,52.56,52.1,52.2,52.58,52.68,52.18,51.14,50.94,50.49,50.97,51.45,50.07,49.48,48.79,47.85
"2013-06-18",53.93,52.3,53.27,52.82,53.95,52.25,51.83,52.28,52.53,53.36,51.8,51.77,51.09,51.09,49.89,49.14
