"Building","Strategy","Date","Day"
"BKS","VFD","11/26/2012","Monday"
"BKS","VFD","11/28/2012","Wednesday"
"BKS","VFD","11/30/2012","Friday"
"BKS","VFD","12/4/2012","Tuesday"
"BKS","VFD","12/6/2012","Thursday"
"LVL","GTR","4/13/2012","Friday"
"LVL","GTR","4/17/2012","Tuesday"
"LVL","GTR","4/19/2012","Thursday"
"LVL","GTR","4/9/2012","Monday"
"LVL","GTR","5/16/2012","Wednesday"
"LVL","GTR","6/18/2012","Monday"
"LVL","GTR","6/20/2012","Wednesday"
"LVL","GTR","6/22/2012","Friday"
"LVL","GTR & VFD","6/11/2012","Monday"
"LVL","GTR & VFD","6/13/2012","Wednesday"
"LVL","GTR & VFD","6/15/2012","Friday"
"LVL","VFD","5/14/2012","Monday"
"LVL","VFD","5/18/2012","Friday"
"LVL","VFD","6/25/2012","Monday"
"LVL","VFD","6/27/2012","Wednesday"
"LVL","VFD","6/29/2012","Friday"
"LVL","VFD","7/23/2012","Monday"
"LVL","VFD","7/25/2012","Wednesday"
"LVL","VFD","7/27/2012","Friday"
"LVL","VFD","7/31/2012","Tuesday"
"LVL","VFD","8/2/2012","Thursday"
"MHP","DUTY","1/19/2012","Thursday"
"MHP","DUTY","1/24/2012","Tuesday"
"MHP","DUTY","1/26/2012","Thursday"
"MHP","DUTY","11/26/2012","Monday"
"MHP","DUTY","11/28/2012","Wednesday"
"MHP","DUTY","11/30/2012","Friday"
"MHP","DUTY","12/4/2012","Tuesday"
"MHP","DUTY","12/6/2012","Thursday"
"MHP","DUTY","6/6/2012","Wednesday"
"MHP","DUTY","7/23/2012","Monday"
"MHP","DUTY","7/25/2012","Wednesday"
"MHP","DUTY","7/27/2012","Friday"
"MHP","DUTY","7/31/2012","Tuesday"
"MHP","DUTY","8/2/2012","Thursday"
"MHP","GTR","1/17/2012","Tuesday"
"MHP","GTR","4/10/2012","Tuesday"
"MHP","GTR","4/12/2012","Thursday"
"MHP","GTR","4/18/2012","Wednesday"
"MHP","GTR","4/2/2012","Monday"
"MHP","GTR","4/6/2012","Friday"
"MHP","GTR & DUTY","6/11/2012","Monday"
"MRF","VFD","11/26/2012","Monday"
"MRF","VFD","11/28/2012","Wednesday"
"MRF","VFD","11/30/2012","Friday"
"MRF","VFD","12/4/2012","Tuesday"
"MRF","VFD","12/6/2012","Thursday"
"SCB","GTR","1/23/2012","Monday"
"SCB","GTR","1/27/2012","Friday"
"SCB","GTR","11/26/2012","Monday"
"SCB","GTR","11/28/2012","Wednesday"
"SCB","GTR","11/30/2012","Friday"
"SCB","GTR","12/4/2012","Tuesday"
"SCB","GTR","12/6/2012","Thursday"
"SCB","GTR","4/23/2012","Monday"
"SCB","GTR","4/25/2012","Wednesday"
"SCB","GTR","4/27/2012","Friday"
"SCB","GTR","5/15/2012","Tuesday"
"SCB","GTR","5/17/2012","Thursday"
"SCB","GTR","6/18/2012","Monday"
"SCB","GTR","6/20/2012","Wednesday"
"SCB","GTR","6/22/2012","Friday"
"SCB","GTR & VFD","6/11/2012","Monday"
"SCB","GTR & VFD","6/13/2012","Wednesday"
"SCB","GTR & VFD","6/15/2012","Friday"
"SCB","VFD","1/25/2012","Wednesday"
"SCB","VFD","12/10/2012","Monday"
"SCB","VFD","12/12/2012","Wednesday"
"SCB","VFD","12/14/2012","Friday"
"SCB","VFD","5/22/2012","Tuesday"
"SCB","VFD","5/24/2012","Thursday"
"SCB","VFD","5/30/2012","Wednesday"
"SCB","VFD","6/25/2012","Monday"
"SCB","VFD","6/27/2012","Wednesday"
"SCB","VFD","6/29/2012","Friday"
"SCB","VFD","6/4/2012","Monday"
"SCB","VFD","6/8/2012","Friday"
"SCB","VFD","7/23/2012","Monday"
"SCB","VFD","7/25/2012","Wednesday"
"SCB","VFD","7/27/2012","Friday"
"SCB","VFD","7/31/2012","Tuesday"
"SCB","VFD","8/2/2012","Thursday"
"TCC","GTR","5/21/2012","Monday"
"TCC","GTR","5/23/2012","Wednesday"
"TCC","GTR","5/25/2012","Friday"
"TCC","GTR","5/29/2012","Tuesday"
"TCC","GTR","5/31/2012","Thursday"
"TCC","GTR","6/18/2012","Monday"
"TCC","GTR","6/20/2012","Wednesday"
"TCC","GTR","6/22/2012","Friday"
"TCC","GTR & VFD","6/11/2012","Monday"
"TCC","GTR & VFD","6/13/2012","Wednesday"
"TCC","GTR & VFD","6/15/2012","Friday"
"TCC","VFD","6/25/2012","Monday"
"TCC","VFD","6/27/2012","Wednesday"
"TCC","VFD","6/29/2012","Friday"
"TCC","VFD","6/5/2012","Tuesday"
"TCC","VFD","6/7/2012","Thursday"
"TCC","VFD","7/23/2012","Monday"
"TCC","VFD","7/25/2012","Wednesday"
"TCC","VFD","7/27/2012","Friday"
"TCC","VFD","7/31/2012","Tuesday"
"TCC","VFD","8/2/2012","Thursday"
"VKC","GTR","6/11/2012","Monday"
"VKC","GTR","6/13/2012","Wednesday"
"VKC","GTR","6/15/2012","Friday"
"VKC","GTR","6/25/2012","Monday"
"VKC","GTR","6/27/2012","Wednesday"
"VKC","GTR","6/29/2012","Friday"
"VKC","VFD","6/18/2012","Monday"
"VKC","VFD","6/20/2012","Wednesday"
"VKC","VFD","6/22/2012","Friday"
"VKC","VFD","7/23/2012","Monday"
"VKC","VFD","7/25/2012","Wednesday"
"VKC","VFD","7/27/2012","Friday"
"VKC","VFD","7/31/2012","Tuesday"
"VKC","VFD","8/2/2012","Thursday"
"WAH","VFD","11/26/2012","Monday"
"WAH","VFD","11/28/2012","Wednesday"
"WAH","VFD","11/30/2012","Friday"
"WAH","VFD","12/4/2012","Tuesday"
"WAH","VFD","12/6/2012","Thursday"
