"","date","curtailment"
"1","2012-11-26",332.91
"2","2012-11-30",441.62
"3","2012-12-04",496.67
"4","2012-12-06",516.8
"5","2012-04-13",57
"6","2012-04-17",-46
"7","2012-04-19",-25
"8","2012-04-09",123
"9","2012-05-16",121
"10","2012-06-20",511.99
"11","2012-06-22",414.86
"12","2012-06-11",142.28
"13","2012-06-13",219.46
"14","2012-06-15",247.22
"15","2012-05-14",431
"16","2012-05-18",472
"17","2012-06-25",216.99
"18","2012-06-27",311.56
"19","2012-06-29",810.03
"20","2012-07-23",296.87
"21","2012-07-25",250.79
"22","2012-07-27",590.04
"23","2012-07-31",460.63
"24","2012-08-02",226.01
"25","2012-01-19",-11.08
"26","2012-01-24",4.08
"27","2012-01-26",2.16
"28","2012-06-06",24.63
"29","2012-04-10",38.56
"30","2012-04-12",39.82
"31","2012-04-18",22.49
"32","2012-04-02",24.99
"33","2012-04-06",34.01
"34","2012-01-23",-20
"35","2012-01-27",6
"36","2012-04-23",-19
"37","2012-04-25",-13
"38","2012-04-27",8
"39","2012-05-15",1
"40","2012-05-17",13
"41","2012-01-25",-24
"42","2012-12-10",44
"43","2012-12-14",34
"44","2012-05-22",11
"45","2012-05-24",-10
"46","2012-05-30",15
"47","2012-06-04",34
"48","2012-06-08",28
"49","2012-05-21",135
"50","2012-05-23",144
"51","2012-05-25",156
"52","2012-05-29",173
"53","2012-05-31",70
"54","2012-06-05",117
"55","2012-06-07",145
"56","2013-01-23",2470.22
"57","2013-01-25",336.66
"58","2013-01-29",178.71
"59","2013-01-31",119.6
"60","2013-10-22",1228.06
"61","2013-10-24",837.33
"62","2013-12-02",521.89
"63","2013-12-04",224.7
"64","2013-12-06",732.97
"65","2013-02-26",78.05
"66","2013-02-28",180.23
"67","2013-03-12",-2563.65
"68","2013-03-04",1137.96
"69","2013-03-06",1363.8
"70","2013-03-08",1333.99
"71","2013-03-18",-152.51
"72","2013-03-20",1166.74
"73","2013-03-22",1215.2
"74","2013-03-26",1091.98
"75","2013-03-28",1015.62
"76","2013-11-11",1429.29
"77","2013-11-13",1913.03
"78","2013-11-15",1344.23
"79","2013-11-19",1123.1
"80","2013-11-21",780.22
"81","2013-04-01",719.35
"82","2013-04-11",1249.17
"83","2013-04-03",834.31
"84","2013-04-05",917.46
"85","2013-04-09",1404.39
"86","2013-10-28",-267.05
"87","2013-11-01",57.39
"88","2013-11-05",1185.13
"89","2013-11-07",906.95
"90","2013-02-12",429.92
"91","2013-02-14",287.92
"92","2013-02-04",-271.36
"93","2013-02-06",444.54
"94","2013-02-08",205.9
"95","2013-04-15",848.83
"96","2013-04-17",1014.39
"97","2013-04-19",964.87
"98","2013-04-23",965.31
"99","2013-04-25",1057.21
"100","2013-05-20",222.3
"101","2013-05-22",729.57
"102","2013-05-24",1023.51
"103","2013-05-28",813.9
"104","2013-05-30",1087.74
"105","2013-06-09",-65.43
"106","2013-06-03",890.35
"107","2013-06-05",611.66
"108","2013-06-07",-155.7
"109","2013-06-10",-17.93
"110","2013-06-12",-108.44
"111","2013-06-14",-84.8500000000001
"112","2013-06-18",294.5
"113","2013-06-20",240.38
"114","2013-06-24",436.97
"115","2013-06-26",441.14
"116","2013-06-28",295.37
"117","2013-07-11",155.55
"118","2013-07-09",104.11
"119","2013-09-23",-8
"120","2013-09-24",183.78
"121","2013-09-26",227.12
"122","2013-02-25",67.87
"123","2013-02-27",71.9
"124","2013-03-01",155.24
"125","2013-06-11",760
"126","2013-06-13",768
"127","2013-01-15",39
"128","2013-01-17",59
"129","2014-04-30",1709.92
"130","2014-05-19",936.79
"131","2014-05-21",964.77
"132","2014-07-25",423.97
"133","2014-08-11",168.08
"134","2014-08-18",340.56
"135","2014-08-20",41.01
"136","2014-09-16",1699.65
"137","2014-09-17",1785.02
"138","2014-09-23",1336.9
"139","2014-09-26",1463.41
"140","2014-05-20",828.98
"141","2014-05-22",868.97
"142","2014-09-10",70.43
"143","2014-09-12",172.9
"144","2014-09-08",84.03
"145","2014-04-29",81
"146","2014-05-01",112
"147","2014-01-07",7.23
"148","2014-01-09",-1.44
