"allBuildings","n12","n13","n14"
"BKS",4,8,3
"LVL",20,29,3
"MHP",19,9,3
"MRF",4,8,3
"SCB",31,34,2
"TCC",20,38,3
"VKC",13,44,0
"WAH",4,8,3
"ALM",0,39,3
"ASC",0,35,3
"BHE",0,9,0
"BRI",0,28,2
"DRB",0,29,3
"EEB",0,10,2
"ESH",0,0,0
"GFS",0,32,3
"HAR",0,29,4
"HOH",0,32,1
"HSH",0,37,0
"JHH",0,4,3
"JKP",0,8,3
"KAP",0,31,4
"LAW",0,9,3
"LRC",0,34,2
"OHE",0,29,0
"RGL",0,4,4
"SAL",0,29,3
"SCC",0,13,3
"SCE",0,13,2
"SCX",0,28,3
"SLH",0,9,3
"SOS",0,33,0
"STU",0,18,3
"SWC",0,31,3
"THH",0,28,3
"WPH",0,42,0
"CAL",0,0,0
"CDF",0,0,0
"DML",0,0,0
"GER",0,0,0
"HNB",0,0,0
"JMC",0,0,0
"KAM",0,0,0
"SCI",0,0,0
