"","buildings","date","strategy","consumption"
"1","BKS","2012-11-26","VFD",530.86
"2","MHP","2012-11-26","DUTY",105.74
"3","MRF","2012-11-26","VFD",213.06
"4","SCB","2012-11-26","GTR",261
"5","WAH","2012-11-26","VFD",792.75
"6","BKS","2012-11-30","VFD",441.8
"7","MHP","2012-11-30","DUTY",96.53
"8","MRF","2012-11-30","VFD",180.25
"9","SCB","2012-11-30","GTR",272
"10","WAH","2012-11-30","VFD",819.8
"11","BKS","2012-12-04","VFD",520.06
"12","MHP","2012-12-04","DUTY",99.51
"13","MRF","2012-12-04","VFD",263.92
"14","SCB","2012-12-04","GTR",270
"15","WAH","2012-12-04","VFD",798
"16","BKS","2012-12-06","VFD",456.43
"17","MHP","2012-12-06","DUTY",100.58
"18","MRF","2012-12-06","VFD",295.65
"19","SCB","2012-12-06","GTR",279
"20","WAH","2012-12-06","VFD",775.7
"21","LVL","2012-04-13","GTR",1207
"22","LVL","2012-04-17","GTR",2206
"23","LVL","2012-04-19","GTR",1977
"24","LVL","2012-04-09","GTR",1941
"25","LVL","2012-05-16","GTR",1943
"26","LVL","2012-06-20","GTR",1971
"27","SCB","2012-06-20","GTR",183
"28","TCC","2012-06-20","GTR",1730
"29","VKC","2012-06-20","VFD",711.21
"30","LVL","2012-06-22","GTR",2008
"31","SCB","2012-06-22","GTR",172
"32","TCC","2012-06-22","GTR",1790
"33","VKC","2012-06-22","VFD",656.9
"34","LVL","2012-06-11","GTR & VFD",2001
"35","MHP","2012-06-11","GTR & DUTY",58.74
"36","SCB","2012-06-11","GTR & VFD",170
"37","TCC","2012-06-11","GTR & VFD",1724
"38","VKC","2012-06-11","GTR",979.66
"39","LVL","2012-06-13","GTR & VFD",2032
"40","SCB","2012-06-13","GTR & VFD",175
"41","TCC","2012-06-13","GTR & VFD",1735
"42","VKC","2012-06-13","GTR",976.62
"43","LVL","2012-06-15","GTR & VFD",1566
"44","SCB","2012-06-15","GTR & VFD",170
"45","TCC","2012-06-15","GTR & VFD",1738
"46","VKC","2012-06-15","GTR",953.98
"47","LVL","2012-05-14","VFD",1473
"48","LVL","2012-05-18","VFD",1352
"49","LVL","2012-06-25","VFD",1937
"50","SCB","2012-06-25","VFD",154
"51","TCC","2012-06-25","VFD",1767
"52","VKC","2012-06-25","GTR",954.29
"53","LVL","2012-06-27","VFD",1879
"54","SCB","2012-06-27","VFD",170
"55","TCC","2012-06-27","VFD",1687
"56","VKC","2012-06-27","GTR",998.68
"57","LVL","2012-06-29","VFD",1221
"58","SCB","2012-06-29","VFD",155
"59","TCC","2012-06-29","VFD",1700
"60","VKC","2012-06-29","GTR",980.21
"61","LVL","2012-07-23","VFD",2041
"62","MHP","2012-07-23","DUTY",104.61
"63","SCB","2012-07-23","VFD",142
"64","TCC","2012-07-23","VFD",1745
"65","VKC","2012-07-23","VFD",858.84
"66","LVL","2012-07-25","VFD",1947
"67","MHP","2012-07-25","DUTY",104.03
"68","SCB","2012-07-25","VFD",151
"69","TCC","2012-07-25","VFD",1871
"70","VKC","2012-07-25","VFD",688.34
"71","LVL","2012-07-27","VFD",1783
"72","MHP","2012-07-27","DUTY",106.09
"73","SCB","2012-07-27","VFD",159
"74","TCC","2012-07-27","VFD",1757
"75","VKC","2012-07-27","VFD",672.55
"76","LVL","2012-07-31","VFD",1940
"77","MHP","2012-07-31","DUTY",103.18
"78","SCB","2012-07-31","VFD",168
"79","TCC","2012-07-31","VFD",1724
"80","VKC","2012-07-31","VFD",726.91
"81","LVL","2012-08-02","VFD",1961
"82","MHP","2012-08-02","DUTY",107.1
"83","SCB","2012-08-02","VFD",160
"84","TCC","2012-08-02","VFD",1724
"85","VKC","2012-08-02","VFD",1032.29
"86","MHP","2012-01-19","DUTY",109.8
"87","MHP","2012-01-24","DUTY",121.84
"88","MHP","2012-01-26","DUTY",124.56
"89","MHP","2012-06-06","DUTY",72.33
"90","MHP","2012-04-10","GTR",94.56
"91","MHP","2012-04-12","GTR",87.22
"92","MHP","2012-04-18","GTR",98.31
"93","MHP","2012-04-02","GTR",102.21
"94","MHP","2012-04-06","GTR",79.27
"95","SCB","2012-01-23","GTR",244
"96","SCB","2012-01-27","GTR",234
"97","SCB","2012-04-23","GTR",275
"98","SCB","2012-04-25","GTR",253
"99","SCB","2012-04-27","GTR",232
"100","SCB","2012-05-15","GTR",207
"101","SCB","2012-05-17","GTR",195
"102","SCB","2012-01-25","VFD",248
"103","SCB","2012-12-10","VFD",212
"104","SCB","2012-12-14","VFD",222
"105","SCB","2012-05-22","VFD",181
"106","SCB","2012-05-24","VFD",170
"107","SCB","2012-05-30","VFD",177
"108","SCB","2012-06-04","VFD",158
"109","SCB","2012-06-08","VFD",164
"110","TCC","2012-05-21","GTR",1625
"111","TCC","2012-05-23","GTR",1600
"112","TCC","2012-05-25","GTR",1604
"113","TCC","2012-05-29","GTR",1635
"114","TCC","2012-05-31","GTR",1546
"115","TCC","2012-06-05","VFD",1723
"116","TCC","2012-06-07","VFD",1743
"117","ALM","2013-01-23","GTR",58.81
"118","HSH","2013-01-23","GTR",174.44
"119","SCB","2013-01-23","GTR & VFD",228
"120","SCC","2013-01-23","VFD",40
"121","SCE","2013-01-23","VFD",16
"122","SOS","2013-01-23","GTR",359.65
"123","TCC","2013-01-23","GTR",2183
"124","VKC","2013-01-23","GTR",1032.28
"125","ALM","2013-01-25","GTR",58.38
"126","HSH","2013-01-25","GTR",143.35
"127","SCB","2013-01-25","GTR & VFD",196
"128","SCC","2013-01-25","VFD",42
"129","SCE","2013-01-25","VFD",33
"130","SOS","2013-01-25","GTR",309.21
"131","TCC","2013-01-25","GTR",2109
"132","VKC","2013-01-25","GTR",792.4
"133","ALM","2013-01-29","GTR",65.76
"134","HSH","2013-01-29","GTR",132.06
"135","SCB","2013-01-29","GTR & VFD",219
"136","SCC","2013-01-29","VFD",41
"137","SCE","2013-01-29","VFD",30
"138","SOS","2013-01-29","GTR",333.28
"139","TCC","2013-01-29","GTR",2131
"140","VKC","2013-01-29","GTR",738.63
"141","ALM","2013-01-31","GTR",56.18
"142","HSH","2013-01-31","GTR",164.46
"143","SCB","2013-01-31","GTR & VFD",273
"144","SCC","2013-01-31","VFD",51
"145","SCE","2013-01-31","VFD",50
"146","SOS","2013-01-31","GTR",354.4
"147","TCC","2013-01-31","GTR",2109
"148","VKC","2013-01-31","GTR",1002.68
"149","ALM","2013-10-22","GTR",60.11
"150","ASC","2013-10-22","VFD",962.08
"151","BHE","2013-10-22","VFD",357
"152","BKS","2013-10-22","VFD",410
"153","BRI","2013-10-22","GTR",214
"154","DRB","2013-10-22","GTR",958
"155","EEB","2013-10-22","VFD",1060
"156","GFS","2013-10-22","GTR",389
"157","HAR","2013-10-22","VFD",429
"158","HOH","2013-10-22","GTR",810.23
"159","HSH","2013-10-22","GTR",129.08
"160","JHH","2013-10-22","DUTY",389
"161","JKP","2013-10-22","VFD",498.53
"162","KAP","2013-10-22","GTR",945
"163","LAW","2013-10-22","VFD",1259
"164","LRC","2013-10-22","GTR",1010.31
"165","LVL","2013-10-22","GTR",1656
"166","MHP","2013-10-22","DUTY",98.06
"167","MRF","2013-10-22","VFD",284.73
"168","OHE","2013-10-22","GTR",690
"169","RGL","2013-10-22","VFD",238
"170","SAL","2013-10-22","VFD",297.92
"171","SCB","2013-10-22","GTR",214
"172","SCC","2013-10-22","VFD",42
"173","SCE","2013-10-22","VFD",27
"174","SCX","2013-10-22","GTR",66
"175","SLH","2013-10-22","DUTY",64.83
"176","SOS","2013-10-22","GTR",371.27
"177","STU","2013-10-22","VFD",240
"178","SWC","2013-10-22","GTR",87.2
"179","TCC","2013-10-22","GTR",1338.6
"180","THH","2013-10-22","VFD",1060
"181","VKC","2013-10-22","GTR",1073.44
"182","WAH","2013-10-22","VFD",717.05
"183","WPH","2013-10-22","GTR",878.78
"184","ALM","2013-10-24","GTR",63.5
"185","BHE","2013-10-24","VFD",302
"186","BKS","2013-10-24","VFD",402
"187","BRI","2013-10-24","GTR",220
"188","DRB","2013-10-24","GTR",942
"189","EEB","2013-10-24","VFD",1007
"190","GFS","2013-10-24","GTR",380
"191","HAR","2013-10-24","VFD",422
"192","HOH","2013-10-24","GTR",776.53
"193","HSH","2013-10-24","GTR",125.91
"194","JHH","2013-10-24","DUTY",380
"195","JKP","2013-10-24","VFD",493.86
"196","KAP","2013-10-24","GTR",954
"197","LAW","2013-10-24","VFD",1252
"198","LRC","2013-10-24","GTR",1012.49
"199","LVL","2013-10-24","GTR",1527
"200","MHP","2013-10-24","DUTY",92.92
"201","MRF","2013-10-24","VFD",293.18
"202","OHE","2013-10-24","GTR",669
"203","RGL","2013-10-24","VFD",237
"204","SAL","2013-10-24","VFD",287.53
"205","SCB","2013-10-24","GTR",220
"206","SCC","2013-10-24","VFD",124
"207","SCE","2013-10-24","VFD",26
"208","SCX","2013-10-24","GTR",70
"209","SLH","2013-10-24","DUTY",68.85
"210","SOS","2013-10-24","GTR",353.03
"211","STU","2013-10-24","VFD",240
"212","SWC","2013-10-24","GTR",88.48
"213","TCC","2013-10-24","GTR",1380
"214","THH","2013-10-24","VFD",1007
"215","VKC","2013-10-24","GTR",1045.59
"216","WAH","2013-10-24","VFD",740.93
"217","WPH","2013-10-24","GTR",835.67
"218","ALM","2013-12-02","GTR",64.78
"219","BRI","2013-12-02","GTR",244
"220","DRB","2013-12-02","GTR",953
"221","GFS","2013-12-02","GTR",447
"222","HAR","2013-12-02","VFD",429
"223","HOH","2013-12-02","GTR",819.68
"224","HSH","2013-12-02","GTR",167.42
"225","KAP","2013-12-02","GTR",865
"226","LRC","2013-12-02","GTR & VFD",104.57
"227","LVL","2013-12-02","GTR",1731
"228","OHE","2013-12-02","GTR",699
"229","SAL","2013-12-02","VFD",314.26
"230","SCB","2013-12-02","GTR",244
"231","SCX","2013-12-02","GTR",66
"232","SWC","2013-12-02","GTR",72.5
"233","TCC","2013-12-02","GTR",2125
"234","THH","2013-12-02","VFD",939
"235","VKC","2013-12-02","GTR & VFD",598.5
"236","ALM","2013-12-04","GTR",60.57
"237","DRB","2013-12-04","GTR",788
"238","GFS","2013-12-04","GTR",468
"239","HAR","2013-12-04","VFD",427
"240","HOH","2013-12-04","GTR",785.04
