"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199"
9.92,11.85,10.2,9.38,9.81,9.26,11.12,11.51,10.63,11.56,11.4,9.16,10.99,8.38,10.67,12.26,11.21,11.93,9.03,9.5,7.9,11.27,11.28,10.96,11.32,10.03,8.97,10.45,10.99,11.2,11.05,10.14,8.79,8.75,10.71,11.69,8.41,10.1,10.8,9.68,9.58,8.23,8.35,10.52,11.77,8.66,8.76,9.14,8.39,9.62,8.9,9.5,8.61,9.42,8.82,8.52,9.06,9.66,8.68,9.51,9.27,8.01,9.83,9.53,9.1,9.51,8.1,9.54,9.38,8.63,9.65,9.44,9.46,8.93,9.99,8.57,9.09,8.65,8.88,8.71,10.1,9.11,9.92,8.86,9.92,10.1,8.24,10.13,9.99,9.6,10.38,8.37,10.39,10.33,9.91,7.89,50,50,50,50,50,50,50,50,50,50,50,50,51,52,53,54,53.5,53,52.5,52,51.25,50.5,49.75,49,48.5,48,47.5,47,47.5,48,48.5,49,52.5,56,59.5,63,65,67,69,71,72.25,73.5,74.75,76,76.75,77.5,78.25,79,79.25,79.5,79.75,80,80.25,80.5,80.75,81,80.75,80.5,80.25,80,78,76,74,72,70.25,68.5,66.75,65,63.75,62.5,61.25,60,59.5,59,58.5,58,57.5,57,56.5,56,55.75,55.5,55.25,55,54.75,54.5,54.25,54,54,54,54,54,53.75,53.5,53.25,53,0,0,0,0,0,0,1
10.32,8.26,11.17,9.88,8.99,8.23,10.2,11.3,11.56,8.44,9.33,10.34,9.51,12.1,11.04,10.23,12.3,11.16,11.08,9,8.78,9.74,11.98,10.95,10.99,12.3,11.67,9.27,9.45,11.2,11.18,10.49,12.39,9.2,8.83,10.05,10.88,11.76,10.74,9.83,9.83,9.71,9.06,10.51,12.37,10.92,9.77,9.73,10.1,9.63,8.8,9.82,10.09,9.67,10.06,9.94,9.79,9.86,9.77,11.02,8.96,9.67,10.09,9.16,10.02,8.87,9.29,8.94,10.69,8.64,8.75,9.26,8.23,9.21,9.36,8.52,10.69,9.01,8.79,8.73,8.68,9.82,8.14,9.99,9.61,10.48,8.32,8.86,9.08,8.98,8.34,9.24,9.69,8.7,10.56,10.28,52.75,52.5,52.25,52,51.5,51,50.5,50,50,50,50,50,49.5,49,48.5,48,47.5,47,46.5,46,46,46,46,46,45.75,45.5,45.25,45,45.25,45.5,45.75,46,48,50,52,54,57,60,63,66,66,66,66,66,66.5,67,67.5,68,69.25,70.5,71.75,73,74.5,76,77.5,79,78.25,77.5,76.75,76,75.25,74.5,73.75,73,71.25,69.5,67.75,66,64.5,63,61.5,60,59.5,59,58.5,58,57.75,57.5,57.25,57,57,57,57,57,56.75,56.5,56.25,56,56,56,56,56,55.75,55.5,55.25,55,1,0,0,0,0,0,0
9.23,8.67,9.58,10.19,11.17,8.78,9.69,8.34,10.79,11.81,8.49,10.62,8.49,10.43,10.52,11.39,10.46,12.53,8.67,8.4,11.29,10.92,12.81,11.76,10.7,12.16,17.59,15.55,15.68,16.03,15.47,15.33,16.07,15.54,17.66,25.88,26.78,29.93,31.38,29.26,29.39,30.49,31.85,28.91,31.08,28.82,30.51,28.72,29.4,30,28.84,30.12,29.71,55.75,56.5,57.25,58,56.75,55.5,54.25,53,53.5,54,54.5,55,54,53,52,51,51.5,52,52.5,53,52.5,52,51.5,51,52.5,54,55.5,57,56.75,56.5,56.25,56,58,60,62,64,65.5,67,68.5,70,71.25,72.5,73.75,75,75.5,76,76.5,77,77.5,78,78.5,79,79,79,79,79,78.5,78,77.5,77,76.5,76,75.5,75,73.75,72.5,71.25,70,68.75,67.5,66.25,65,64.5,64,63.5,63,62.25,61.5,60.75,60,59.75,59.5,59.25,59,58.25,57.5,56.75,56,56,56,56,56,56.75,57.5,58.25,59,0,1,0,0,0,0,0,9.23,8.67,9.58,10.19,11.17,8.78,9.69,8.34,10.79,11.81,8.49,10.62,8.49,10.43,10.52,11.39,10.46,12.53,8.67,8.4,11.29,10.92,12.81,11.76,10.7,12.16,17.59,15.55,15.68,16.03,15.47,15.33,16.07,15.54,17.66,25.88,26.78,29.93,31.38,29.26,29.39,30.49,31.85
10.57,11.45,11.42,10.61,10.83,11.51,10.68,12.55,11.65,14.06,13.15,11.85,11.39,12.27,11.39,11.81,10.3,13.31,13.14,13.22,11.37,14.47,16.35,17.99,18.13,19.89,16.74,13.41,14.11,13.93,14.8,16.84,14.88,17.08,18.84,20.21,24.78,23.52,20.39,24.04,26.49,27.46,28.38,27.66,28.17,27.1,28.11,27.71,28.36,31.29,30.71,31.35,30.34,31.05,29.75,29.32,31.37,28.81,29.34,28.68,29.92,28.41,29.26,28.37,26.46,25.57,22.88,23.51,23.43,21.26,21.94,19.98,20.25,18.36,19.32,18.52,20.1,15.96,16.46,14.48,15.82,14.52,14.93,14.98,14.83,15.61,13.66,14.1,14.2,13.94,14.51,14.32,15.01,15.04,14.39,14.47,58.75,58.5,58.25,58,58.25,58.5,58.75,59,58.5,58,57.5,57,57,57,57,57,58,59,60,61,60.25,59.5,58.75,58,58,58,58,58,58.25,58.5,58.75,59,60.75,62.5,64.25,66,68,70,72,74,74.75,75.5,76.25,77,78.25,79.5,80.75,82,82.25,82.5,82.75,83,83.25,83.5,83.75,84,84,84,84,84,82.25,80.5,78.75,77,76.25,75.5,74.75,74,72.5,71,69.5,68,67,66,65,64,64.5,65,65.5,66,66.25,66.5,66.75,67,67,67,67,67,66.75,66.5,66.25,66,65.25,64.5,63.75,63,0,0,1,0,0,0,0
11.31,11.62,11.13,12.9,11.31,11.5,11.7,11.48,12.58,10.45,12.24,12.66,12.32,11.29,11.51,11.7,11.9,12.26,10.22,12.2,12.29,16.73,16.36,17.75,18.33,19.41,13.16,14.08,14.72,14.65,15.67,14.63,17.26,16.25,17.71,19.08,21.15,20.75,20.46,22.44,21,24.87,23,22.37,22.33,22.33,22.59,22.63,21.69,22.47,24.01,20.13,20.98,21.46,22.11,20.97,23.99,23.52,21.86,21.63,21.87,21.08,19.66,20.89,20.24,20.47,20.99,20.34,18.87,17.6,16.69,17.71,14.74,14.73,13.53,13.5,14.79,10.91,11.05,11.82,11.02,11.75,10.75,10.98,12.15,11.26,10.67,10.43,10.95,11.44,11.44,11.06,12.94,9.92,12,10.74,63.25,63.5,63.75,64,63.75,63.5,63.25,63,63,63,63,63,63,63,63,63,62.5,62,61.5,61,60.75,60.5,60.25,60,59.75,59.5,59.25,59,59.5,60,60.5,61,62.75,64.5,66.25,68,69.5,71,72.5,74,75,76,77,78,78.5,79,79.5,80,80.5,81,81.5,82,82,82,82,82,81,80,79,78,77,76,75,74,73.25,72.5,71.75,71,70,69,68,67,66,65,64,63,62.5,62,61.5,61,60.5,60,59.5,59,59.5,60,60.5,61,61,61,61,61,59.75,58.5,57.25,56,0,0,0,1,0,0,0
11.65,11.7,10.39,12.26,10.74,11.55,11.61,11.6,10.88,11.66,11.79,11.78,12.54,12.49,10.55,11.71,15.02,14.43,16.26,14.23,16.68,15.66,15.8,15.91,16.9,17.27,14.15,13.73,14.63,18,18.05,23.55,23.53,22.25,24.72,25.9,26.7,28.09,26.87,29.23,28.53,29.45,29.96,29.54,29.52,30.8,31.48,29.95,31.42,29.92,29.83,29.43,29.5,29.44,28.15,30.28,28.98,27.26,26.39,26.51,26.16,27.55,27.37,26.58,26.94,25.98,22.49,20.84,20.55,20.24,16.82,15.37,14.36,13.78,13.76,12.63,14.47,11.19,11.48,11.78,10.35,12.71,10.69,12.9,11.25,11.73,11.51,11.64,11.94,10.95,12.06,11.6,11.64,10.5,14.5,15.27,55.5,55,54.5,54,54.25,54.5,54.75,55,54,53,52,51,51,51,51,51,51,51,51,51,50.5,50,49.5,49,49.25,49.5,49.75,50,50.25,50.5,50.75,51,53,55,57,59,60.5,62,63.5,65,66.25,67.5,68.75,70,70.25,70.5,70.75,71,71.25,71.5,71.75,72,71.75,71.5,71.25,71,70.25,69.5,68.75,68,67.75,67.5,67.25,67,66.5,66,65.5,65,64,63,62,61,60.25,59.5,58.75,58,57.5,57,56.5,56,55.75,55.5,55.25,55,54.75,54.5,54.25,54,53.75,53.5,53.25,53,52.75,52.5,52.25,52,0,0,0,0,1,0,0
15.16,14.06,10.7,9.31,10.43,9.78,9.46,9.68,9.94,10.58,9.71,10.64,9.61,10.73,9.47,9.96,10.47,9.63,9.47,9.31,10.15,9.47,10.2,10.35,9.88,10.08,10.29,8.96,9.96,10.04,10.27,12.5,11.51,10.29,10.24,9.59,9.11,9.85,9.7,9.64,9.56,9.49,8.9,10.21,9.33,9.62,11.32,11.56,9.68,10.55,10.73,9.84,9.25,10.66,10.48,8.9,11.28,10.31,9.57,9.62,10.63,10.04,8.89,10.29,10.29,10.7,9.46,10.34,9.84,10.41,10.56,9.61,9.64,10.15,10.48,8.77,10.07,10.28,10.55,9.9,10.26,9.3,10.39,10.6,10.12,10.76,8.48,10.5,9.54,10.26,9.32,10.65,9.54,12.38,12.79,7.95,51.75,51.5,51.25,51,51,51,51,51,50.75,50.5,50.25,50,50.25,50.5,50.75,51,51,51,51,51,51,51,51,51,51.25,51.5,51.75,52,51.75,51.5,51.25,51,51.25,51.5,51.75,52,52.5,53,53.5,54,54.5,55,55.5,56,56.75,57.5,58.25,59,59.5,60,60.5,61,61,61,61,61,60.75,60.5,60.25,60,59.75,59.5,59.25,59,58.75,58.5,58.25,58,57.25,56.5,55.75,55,54.75,54.5,54.25,54,53.75,53.5,53.25,53,52.75,52.5,52.25,52,51.75,51.5,51.25,51,51,51,51,51,50.5,50,49.5,49,0,0,0,0,0,1,0
10.36,10.12,9.44,11.18,11.11,13.5,9,9.8,12,11.3,12.69,12.18,9.34,11.37,11.76,11.25,11.71,12.15,8.96,11.29,11.94,11.52,11.35,11.03,10.2,11.18,11.48,12,12.49,12.74,10,10.68,11.75,11.21,11.63,11.76,9.79,10.02,10.36,12.48,10.66,10.86,9.81,9.74,9.48,9.17,12.12,11.81,11.41,9.39,9.41,10.28,10.33,10.52,10.4,9.35,11.41,10.39,9.88,9.66,10.55,9.47,8.61,9.87,9.31,9.74,9.8,9.65,10.54,9.46,9.24,11.09,10.87,8.87,10.59,10.38,9.42,9.37,10.31,10.47,10.3,8.93,10.71,9.89,11.07,10.69,9.4,9.26,10.43,11.36,11.98,11.99,10.58,10.25,9.38,9.52,49,49,49,49,48.75,48.5,48.25,48,48,48,48,48,47.75,47.5,47.25,47,46.75,46.5,46.25,46,45.75,45.5,45.25,45,44.75,44.5,44.25,44,44.25,44.5,44.75,45,46.75,48.5,50.25,52,54,56,58,60,61.25,62.5,63.75,65,65.5,66,66.5,67,67.25,67.5,67.75,68,68,68,68,68,67.75,67.5,67.25,67,66.75,66.5,66.25,66,65.25,64.5,63.75,63,62.25,61.5,60.75,60,59.5,59,58.5,58,57.5,57,56.5,56,55.75,55.5,55.25,55,54.5,54,53.5,53,52.5,52,51.5,51,51,51,51,51,0,0,0,0,0,0,1
12.39,11.94,11.61,11.1,10.12,10.83,10.32,12.4,12.06,12.29,10.68,10.07,11.44,11.84,12.9,12.05,10,9.41,10,12.4,15.15,12.75,12.22,11.02,11.82,15.5,16.3,15.33,14.38,14.24,15.89,17.87,17.9,17.73,17.19,19.57,20.74,21.15,22.2,22.83,22.37,24.42,23.7,21.84,21.86,23.22,22.22,21.85,22.96,21.51,21.92,21.07,22.3,22.94,22.35,21.27,25.43,22.74,19.94,21.66,21.11,19.26,20.2,21.3,21.85,17.87,20.39,19.25,17.03,16.89,14.26,16.1,15.08,13.06,15.7,13.46,14.78,11.79,10.43,12.08,10.63,11.46,10.21,11.41,12.01,10.13,12.25,9.28,11.32,11.17,11.27,11.4,10.86,11.45,12.09,11.47,50.5,50,49.5,49,49,49,49,49,48.75,48.5,48.25,48,48.25,48.5,48.75,49,48.75,48.5,48.25,48,47.5,47,46.5,46,46.25,46.5,46.75,47,47.5,48,48.5,49,51.5,54,56.5,59,60.75,62.5,64.25,66,67,68,69,70,70.5,71,71.5,72,72.25,72.5,72.75,73,73.25,73.5,73.75,74,73.75,73.5,73.25,73,72.5,72,71.5,71,69.75,68.5,67.25,66,64.75,63.5,62.25,61,60.5,60,59.5,59,58.5,58,57.5,57,56.75,56.5,56.25,56,56.5,57,57.5,58,57,56,55,54,53.5,53,52.5,52,1,0,0,0,0,0,0
12.4,10.99,11.68,11.3,11.1,12.02,11.81,11.54,11.26,12.33,10.8,13.01,12.3,14.65,13.94,12.19,11.36,11.89,12.17,13.1,13.02,16.28,15.69,14.15,13.73,15.64,14.16,15.74,18.79,20.41,18.24,19.38,21.05,20.14,22.4,23.97,25.47,25.57,26.15,27.07,28.08,28.53,28.85,33.03,29.76,31.09,31.73,32.71,32.3,33.22,31.46,32.6,32.88,29.91,31.37,30.41,29.76,30.26,29.08,29.79,30.14,28.67,28.13,28.95,28.68,28.35,29.84,24.86,27.1,23.36,23.86,19.17,19.66,18,16.45,18.53,17.54,14.72,14.8,14.29,15.28,13.61,14.23,13.55,15.64,14.99,12.79,14.95,13.93,13.88,12.57,13.53,14.58,12.7,13.18,12.46,52.25,52.5,52.75,53,52.25,51.5,50.75,50,49.75,49.5,49.25,49,48.75,48.5,48.25,48,47.75,47.5,47.25,47,47,47,47,47,47,47,47,47,47.75,48.5,49.25,50,51.5,53,54.5,56,57.25,58.5,59.75,61,61.75,62.5,63.25,64,64.5,65,65.5,66,66.25,66.5,66.75,67,67.5,68,68.5,69,69,69,69,69,68,67,66,65,64.25,63.5,62.75,62,61.25,60.5,59.75,59,58.5,58,57.5,57,56.75,56.5,56.25,56,55.75,55.5,55.25,55,54.5,54,53.5,53,52.75,52.5,52.25,52,51.75,51.5,51.25,51,0,1,0,0,0,0,0
