"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199"
9,8,9,10,9,8,9,10,8,9,9,9,9,9,9,9,9,9,10,9,10,11,10,10,10,10,11,14,15,16,13,14,15,15,16,15,16,17,17,17,16,16,18,16,15,16,16,17,17,18,17.5,17.5,16,17,19,19,19,19,19,19,18,18,17,18,18,18,17,18,18,18,18,16,16,18,17,16,15.4,15.4,15.4,15.4,15.4,14.5,14.5,14,14,14,14,10,10,9,9.67,9.67,9.67,9,9,9,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,58.75,58.5,58.25,58,58,58,58,58,58.25,58.5,58.75,59,59,59,59,59,59.25,59.5,59.75,60,60.25,60.5,60.75,61,61.5,62,62.5,63,63.5,64,64.5,65,65.5,66,66.5,67,67,67,67,67,66.25,65.5,64.75,64,63.25,62.5,61.75,61,60.75,60.5,60.25,60,59.75,59.5,59.25,59,58.75,58.5,58.25,58,57.75,57.5,57.25,57,57,57,57,57,56.75,56.5,56.25,56,55.75,55.5,55.25,55,0,0,0,1,0,0,0
9,9,9,9,10,9,9,9,9,9,9.25,9.25,9.25,9.25,9,8,10,9,10.5,10.5,10,10.33,10.33,10.33,9,10,12.5,12.5,15,13,15,14,14,15,15,17,17,16,15.5,15.5,18,16.5,16.5,18,16,18,17,18,18,18,17,16.2,16.2,16.2,16.2,16.2,19,15.5,15.5,16,14,16,15.5,15.5,15,16,16.5,16.5,16,15,16,15,15,14,14,14,14,13,13,13,13,13,12,13,12,14,13,9,9,9.67,9.67,9.67,10,9,9,55,55,55,55,54.75,54.5,54.25,54,54,54,54,54,53.5,53,52.5,52,52,52,52,52,52.25,52.5,52.75,53,52.5,52,51.5,51,51.25,51.5,51.75,52,52.25,52.5,52.75,53,53.5,54,54.5,55,55.75,56.5,57.25,58,59.5,61,62.5,64,65,66,67,68,67.25,66.5,65.75,65,65.25,65.5,65.75,66,65.75,65.5,65.25,65,64.25,63.5,62.75,62,61.5,61,60.5,60,59.75,59.5,59.25,59,58.75,58.5,58.25,58,57.75,57.5,57.25,57,56.75,56.5,56.25,56,55.5,55,54.5,54,54,54,54,54,0,0,0,0,1,0,0,9
9,9,9,10,9,9,9,9,9,9,9.25,9.25,9.25,9.25,9,9,9,9.5,9.5,8.5,8.5,10,10,9,9,9,9,9,9,12,13.33,13.33,13.33,12,12,12,12,12,12.5,12.5,11,12,12,12,12,11,11,11,11,11,12,11.5,11.5,11,12,11,11,12,11,12,12,12,11,12,11,12,12,12,13,12,12,13,12.67,12.67,12.67,12.5,12.5,12.6,12.6,12.6,12.6,12.6,12,12,12,13,11,11,9,10,8,9,10,8.5,8.5,8,53.75,53.5,53.25,53,52.75,52.5,52.25,52,52,52,52,52,52.25,52.5,52.75,53,52.5,52,51.5,51,51.5,52,52.5,53,53.25,53.5,53.75,54,54.25,54.5,54.75,55,55,55,55,55,55.5,56,56.5,57,57.5,58,58.5,59,59.25,59.5,59.75,60,60.75,61.5,62.25,63,63.25,63.5,63.75,64,64.25,64.5,64.75,65,65,65,65,65,64,63,62,61,60.25,59.5,58.75,58,57.75,57.5,57.25,57,56.75,56.5,56.25,56,55.75,55.5,55.25,55,55.5,56,56.5,57,57,57,57,57,57,57,57,57,0,0,0,0,0,1,0
9,9,9,9,9,9,9,9,8,9,9,10,8,9,9,8,9,9,8,9,9,9,8.5,8.5,9,9,9,9,9,12,12,12.5,12.5,11,12,11,11.67,11.67,11.67,11,11,11,11,12,11.5,11.5,11,11,11.5,11.5,11.67,11.67,11.67,11,11.75,11.75,11.75,11.75,11,12,11.5,11.5,11,11.5,11.5,11,12.33,12.33,12.33,12.67,12.67,12.67,12.33,12.33,12.33,13,12.5,12.5,12,12,12.5,12.5,13,13,12,12,10.5,10.5,10,10,9,9,9,9,8,9,57.25,57.5,57.75,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,57.75,57.5,57.25,57,57,57,57,57,56.75,56.5,56.25,56,56.25,56.5,56.75,57,57.5,58,58.5,59,60,61,62,63,63.25,63.5,63.75,64,64.75,65.5,66.25,67,67,67,67,67,66.75,66.5,66.25,66,65.25,64.5,63.75,63,62.25,61.5,60.75,60,59.75,59.5,59.25,59,58.5,58,57.5,57,57,57,57,57,56.75,56.5,56.25,56,55.5,55,54.5,54,54,54,54,54,53.75,53.5,53.25,53,0,0,0,0,0,0,1
9,9,9,9,9,9,9,9,9,9,9,9,9.14,9.14,9.14,9.14,9.14,9.14,9.14,10,10,10,10,10,10,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,16,15,16.5,16.5,16,16,17,17,17,18.43,18.43,18.43,18.43,18.43,18.43,18.43,17.75,17.75,17.75,17.75,19,18,18,17.5,17.5,18,18,18,17,20,17,18,18,18,18,18,19,17,17,15,16,15,15,14,14,14,14,14,14,13,13,13,10.75,10.75,10.75,10.75,9,9.5,9.5,9,9,8,53,53,53,53,52.5,52,51.5,51,50.75,50.5,50.25,50,50,50,50,50,49.75,49.5,49.25,49,49.25,49.5,49.75,50,50.25,50.5,50.75,51,52,53,54,55,56.5,58,59.5,61,62.5,64,65.5,67,67.75,68.5,69.25,70,70.5,71,71.5,72,72.25,72.5,72.75,73,73,73,73,73,72.75,72.5,72.25,72,71.5,71,70.5,70,68.5,67,65.5,64,63,62,61,60,59.75,59.5,59.25,59,58.75,58.5,58.25,58,57.75,57.5,57.25,57,56.75,56.5,56.25,56,55.5,55,54.5,54,53.75,53.5,53.25,53,1,0,0,0,0,0,0
9,9,11,8,9.5,9.5,9,9,9,9,9,9,9,9,9,9,9,9.5,9.5,10,10,10,9.33,9.33,9.33,11,10,13,14,12,13,13,12,13,14,13,14,14,14,16,13,15,15,16,15,16,14,16,16,16,16,16,16,16,16,17,18,17,15,17,17,16,18,16,17,16,17,18,17,17,18,16,15,16,16,15,15,15,15,14,17,13,14,13,13,13,13,11,10,9,9,10,9,9,9,9,53,53,53,53,52.5,52,51.5,51,51.5,52,52.5,53,52.25,51.5,50.75,50,49.75,49.5,49.25,49,49,49,49,49,49,49,49,49,50,51,52,53,54.25,55.5,56.75,58,59.25,60.5,61.75,63,64,65,66,67,68,69,70,71,70.75,70.5,70.25,70,70.25,70.5,70.75,71,70.5,70,69.5,69,68.5,68,67.5,67,66,65,64,63,62.25,61.5,60.75,60,59.5,59,58.5,58,57.75,57.5,57.25,57,57.25,57.5,57.75,58,57.5,57,56.5,56,55.75,55.5,55.25,55,55.75,56.5,57.25,58,0,1,0,0,0,0,0
9,8,9,10,9,9,10,8,9,10,8,9,10,8,9,9,9.5,9.5,9,9,9,10,10,10,10,11,11,14,15,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,57.75,57.5,57.25,57,57,57,57,57,57,57,57,57,57.25,57.5,57.75,58,58,58,58,58,58.5,59,59.5,60,60,60,60,60,60,60,60,60,60.25,60.5,60.75,61,61.25,61.5,61.75,62,61.75,61.5,61.25,61,61,61,61,61,60.75,60.5,60.25,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59.5,59,58.5,58,57.5,57,56.5,56,55.75,55.5,55.25,55,0,0,1,0,0,0,0,9,8,9,10,9,9,10,8,9,10,8,9,10,8,9,9,9.5,9.5,9,9,9,10,10,10,10,11,11,14,15,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,57.75,57.5,57.25,57,57,57,57,57,57,57,57,57,57.25,57.5,57.75,58,58,58,58,58,58.5,59
8,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,10,9,11,10,10,9,10,10,10,14,15,13,13,14,14,15,15,17,16,15,16,16,15,17,16,17,17,17,16,17,19,17,17,16,17,17,16,18,17,17,18,19,18,18,18,18,18,17,18,18,18,18,19,17,17,16,17,16,15,14,15,14,15,14,13,13,13,13,14,9,9,9,9,9,10,9,10,9,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,54.75,54.5,54.25,54,54,54,54,54,54,54,54,54,54.25,54.5,54.75,55,55.25,55.5,55.75,56,57,58,59,60,60,60,60,60,60,60,60,60,59.75,59.5,59.25,59,59.5,60,60.5,61,60.75,60.5,60.25,60,59.75,59.5,59.25,59,58.25,57.5,56.75,56,55.5,55,54.5,54,53.75,53.5,53.25,53,52.75,52.5,52.25,52,51.5,51,50.5,50,50,50,50,50,49.75,49.5,49.25,49,49,49,49,49,0,0,0,1,0,0,0
9,10,9,9,10,9,9,10,10,9,10,10,9,10,9,10,10,9,10,11,10,11,10,11,11,11,11,14,15,14,15,13,14,14,15,16,15,16,15,15,15,16,15,15,15,17,16,16,16,15,16,17,16,17,16,18,16,16,17,18,16,16,17,16,16,16,16,16,17,16,16,14,14,14,13,13,13,11,12,13,12,12,12,12,12,13,12,8,9,9,9,9,9,9,9,8,48.5,48,47.5,47,46.75,46.5,46.25,46,46,46,46,46,45.75,45.5,45.25,45,44.75,44.5,44.25,44,44,44,44,44,44.25,44.5,44.75,45,45.5,46,46.5,47,48.25,49.5,50.75,52,52.75,53.5,54.25,55,55.5,56,56.5,57,57,57,57,57,57,57,57,57,57,57,57,57,56.75,56.5,56.25,56,55.75,55.5,55.25,55,54.5,54,53.5,53,52.25,51.5,50.75,50,50.5,51,51.5,52,51.75,51.5,51.25,51,51,51,51,51,50.75,50.5,50.25,50,49.75,49.5,49.25,49,48.75,48.5,48.25,48,0,0,0,0,1,0,0
9,8,9,9,9,9,8,9,8,9,9,8,9,9,8,9,9,8,9,8,9,9,9,9,8,8,9,9,9,10,11,12,11,11,11,12,11,11,12,11,11,11,11,11,10,12,11,11,11,11,12,12,13,11,12,11,12,11,13,11,12,11,11,11,11,12,11,12,12,12,11,12,13,12,12,12,12,11,12,13,12,11,12,12,12,11,13,9,9,8,9,9,8,9,8,8,48.25,48.5,48.75,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48.25,47.5,46.75,46,45.75,45.5,45.25,45,45.5,46,46.5,47,48,49,50,51,52.25,53.5,54.75,56,56.5,57,57.5,58,58.25,58.5,58.75,59,59.5,60,60.5,61,60.75,60.5,60.25,60,60,60,60,60,59.5,59,58.5,58,57.75,57.5,57.25,57,56.75,56.5,56.25,56,56,56,56,56,55.75,55.5,55.25,55,55,55,55,55,54.5,54,53.5,53,53,53,53,53,53.25,53.5,53.75,54,0,0,0,0,0,1,0
