buildinglist,dates,strategy,ActualMeteredConsumption,KWh Difference - Edison 
ALM,4/30/14,VFD,46.13,13.84703184
ASC,4/30/14,VFD,961.81,163.9469293
BKS,4/30/14,VFD,509.9,72.17101174
BRI,4/30/14,DUTY,261,1.360856007
DRB,4/30/14,VFD,910,86.97125283
EEB,4/30/14,VFD,1097,113.4680437
GFS,4/30/14,VFD,314,133.7144195
HOH,4/30/14,VFD,775.22,-5.599634492
JHH,4/30/14,DUTY,420,55.13602567
JKP,4/30/14,VFD,512.59,85.72676707
LAW,4/30/14,VFD,1231,192.7586571
LVL,4/30/14,VFD,1600,257.968451
MHP,4/30/14,DUTY,97.59,22.32282818
MRF,4/30/14,VFD,395.01,-1.199654365
SAL,4/30/14,VFD & DUTY,381.52,25.44240772
SCB,4/30/14,VFD,261,1.360856007
SCC,4/30/14,VFD,57,0.729697196
SCE,4/30/14,VFD,55,-2.940183779
SCX,4/30/14,VFD,71,0.543589025
SLH,4/30/14,DUTY,82.64,12.57791931
STU,4/30/14,VFD,380,23.18008167
SWC,4/30/14,VFD,82.37,15.00556675
TCC,4/30/14,GTR & VFD,2039,129.8841059
THH,4/30/14,VFD & DUTY,1097,113.4680437
WAH,4/30/14,VFD,792.14,119.7933471
ALM,5/19/14,VFD,39.74,17.49280945
BRI,5/19/14,GTR & DUTY,173,84.51568499
EEB,5/19/14,VFD,977,175.944524
HAR,5/19/14,VFD & DUTY,359,48.81907519
JKP,5/19/14,VFD,433.05,103.0424006
LAW,5/19/14,VFD,1136,215.0810919
LVL,5/19/14,VFD,1102,929.4668088
MRF,5/19/14,VFD,376.9,27.36560615
RGL,5/19/14,VFD,202,55.72186248
SCB,5/19/14,GTR & VFD,173,84.51568499
SCE,5/19/14,VFD,24,10.53472957
SLH,5/19/14,DUTY,54.12,24.22744619
STU,5/19/14,VFD,329,72.427573
TCC,5/19/14,GTR & VFD,1650,392.9096595
ALM,5/21/14,VFD,47.21,10.45990572
BRI,5/21/14,GTR & DUTY,128,117.7635681
EEB,5/21/14,VFD,919,208.893959
HAR,5/21/14,VFD & DUTY,298,105.3862592
JKP,5/21/14,VFD,442.92,80.65227251
LAW,5/21/14,VFD,1113,227.4629511
LVL,5/21/14,VFD,1117,881.8907654
MRF,5/21/14,VFD,353.79,48.61897786
RGL,5/21/14,VFD,229,30.26819366
SCB,5/21/14,GTR & VFD,128,117.7635681
SCE,5/21/14,VFD,16,17.9161971
SLH,5/21/14,DUTY,62.11,16.60959656
STU,5/21/14,VFD,324,78.14919422
TCC,5/21/14,GTR & VFD,1598,412.2305274
ALM,7/25/14,VFD,40.44,16.44024594
ASC,7/25/14,VFD,754.09,182.4928969
BKS,7/25/14,VFD,502.81,116.5255313
GFS,7/25/14,GTR,341,36.8202504
HSH,7/25/14,VFD,145.89,54.30525011
SCB,7/25/14,GTR,183,12.14699427
STU,7/25/14,VFD,330,55.13955129
TCC,7/25/14,GTR,1818,83.16263516
ALM,8/11/14,VFD,43.11,10.51057982
ASC,8/11/14,VFD,737.18,187.9734477
BKS,8/11/14,VFD,569.63,43.4367047
STU,8/11/14,VFD,406,-21.9944249
ALM,8/18/14,VFD,48.87,2.764059705
ASC,8/18/14,VFD,803.34,104.4955695
BKS,8/18/14,VFD,505.92,101.6283642
HSH,8/18/14,VFD,167.35,21.59517537
STU,8/18/14,VFD,345,44.67545607
ALM,8/20/14,VFD,54.39,-1.132292562
ASC,8/20/14,VFD,919.37,-12.82407073
BKS,8/20/14,VFD,622.79,-13.17986092
SCB,8/20/14,GTR,184,1.147386008
STU,8/20/14,VFD,373,18.32487599
ALM,9/16/14,VFD,47.56,17.21993647
ASC,9/16/14,VFD,912.35,87.4819655
BKS,9/16/14,VFD,457.22,147.8614505
BRI,9/16/14,DUTY,210,38.1346092
DML,9/16/14,VFD,1956,-647.1852936
EEB,9/16/14,VFD,1229,179.5015228
HAR,9/16/14,VFD,462,-8.615699521
HNB,9/16/14,VFD,692,34.56947471
HSH,9/16/14,VFD,200.64,29.65819454
JHH,9/16/14,DUTY,469,20.36227248
JKP,9/16/14,VFD,537.47,112.4663943
KAM,9/16/14,VFD,1102.87,96.77063282
LAW,9/16/14,VFD,1298,114.5219839
LRC,9/16/14,VFD,1771,410.2547553
MHP,9/16/14,DUTY,115.69,12.41735252
MRF,9/16/14,VFD,454.65,39.49559025
RGL,9/16/14,VFD,272,22.62763319
SCB,9/16/14,VFD,210,38.1346092
SCE,9/16/14,VFD,34,40.53316263
SCX,9/16/14,VFD,72,5.935091215
SLH,9/16/14,DUTY,73.19,18.33424958
STU,9/16/14,VFD,361,40.53066175
SWC,9/16/14,VFD,101.03,0.477363645
THH,9/16/14,VFD,1229,179.5015228
WAH,9/16/14,VFD,796.84,64.29636799
ALM,9/17/14,VFD,57.09,7.689936466
ASC,9/17/14,VFD,872.31,127.5219655
BKS,9/17/14,VFD,450.52,154.5614505
BRI,9/17/14,DUTY,216,32.1346092
DML,9/17/14,VFD,1229,79.81470643
EEB,9/17/14,VFD,1413,-4.49847716
GFS,9/17/14,VFD,384,38.66385447
HAR,9/17/14,VFD,410,43.38430048
HNB,9/17/14,VFD,683,43.56947471
JHH,9/17/14,DUTY,467,22.36227248
JKP,9/17/14,VFD,515.54,134.3963943
KAM,9/17/14,VFD,1092.9,106.7406328
LAW,9/17/14,VFD,1272,140.5219839
LRC,9/17/14,VFD,2261,-79.74524469
MHP,9/17/14,DUTY,119.04,9.067352515
MRF,9/17/14,VFD,413.17,80.97559025
RGL,9/17/14,VFD,281,13.62763319
SAL,9/17/14,VFD,345.91,-2.94920872
SCB,9/17/14,VFD,216,32.1346092
SCE,9/17/14,VFD,52,22.53316263
SCX,9/17/14,VFD,74,3.935091215
SLH,9/17/14,DUTY,78.71,12.81424958
STU,9/17/14,VFD,366,35.53066175
SWC,9/17/14,VFD,87.01,14.49736364
TCC,9/17/14,VFD,2057,104.0493613
THH,9/17/14,VFD,1413,-4.49847716
VKC,9/17/14,VFD,1143.79,88.04627877
WAH,9/17/14,VFD,991.03,-129.893632
WPH,9/17/14,VFD,4322.76,-41.94935068
ALM,9/23/14,VFD,52.8,12.2562143
ASC,9/23/14,VFD,846.91,130.9042713
BKS,9/23/14,VFD,511.59,96.86348336
BRI,9/23/14,DUTY,449,-183.8557479
DML,9/23/14,VFD,1245,64.02088392
EEB,9/23/14,VFD,1177,178.2046417
GFS,9/23/14,VFD,418,2.705168317
HNB,9/23/14,VFD,681,49.69302451
HSH,9/23/14,VFD,80.8,149.4981945
JKP,9/23/14,VFD,537.97,108.6273499
KAM,9/23/14,VFD,1089.75,148.7447808
LAW,9/23/14,VFD,1299,113.0065402
LRC,9/23/14,VFD,1986,201.44008
MHP,9/23/14,DUTY,108.86,19.61434845
MRF,9/23/14,VFD,404.36,84.83011428
RGL,9/23/14,VFD,277,16.18439076
SAL,9/23/14,VFD,320.63,28.98001533
SCB,9/23/14,VFD,228,16.62959187
SCE,9/23/14,VFD,32,34.59532927
SCX,9/23/14,VFD,68,9.62582498
SLH,9/23/14,DUTY,72.31,19.28744259
STU,9/23/14,VFD,379,11.70634352
SWC,9/23/14,VFD,104.79,-6.845383382
TCC,9/23/14,VFD,2078,66.3489846
THH,9/23/14,VFD,1177,178.2046417
WAH,9/23/14,VFD,875.53,35.98996122
WPH,9/23/14,VFD,3962.8,297.4238269
ALM,9/26/14,VFD,53.01,11.22768967
ASC,9/26/14,VFD,702.7,269.5010892
BKS,9/26/14,VFD,480.88,121.4118691
DML,9/26/14,VFD,1229,88.37107227
EEB,9/26/14,VFD,962,396.8127478
HNB,9/26/14,VFD,652,75.29109593
KAM,9/26/14,VFD,979.79,254.3575284
LAW,9/26/14,VFD,1257,160.4702437
MHP,9/26/14,DUTY,104.76,24.58647923
MRF,9/26/14,VFD,332.65,150.0785117
RGL,9/26/14,VFD,244,48.87512453
SAL,9/26/14,VFD,255.48,88.23849356
SCB,9/26/14,VFD,212,35.72225422
SCC,9/26/14,VFD,34,22.28645477
SCE,9/26/14,VFD,13,34.4208227
SLH,9/26/14,DUTY,67.5,24.80669315
STU,9/26/14,VFD,347,44.63414223
TCC,9/26/14,VFD,2164,-4.703147376
WAH,9/26/14,VFD,734.78,198.3288062
ASC,5/20/14,VFD,852.94,149.0403349
BKS,5/20/14,VFD,470.74,116.7442017
DRB,5/20/14,GTR & VFD,771,275.4538504
GFS,5/20/14,GTR & VFD,258,128.89206
JHH,5/20/14,DUTY,434,34.02290227
KAP,5/20/14,GTR & VFD,659,215.9141788
MHP,5/20/14,DUTY,78.26,24.25969512
SAL,5/20/14,VFD,287.57,63.90901428
SCC,5/20/14,VFD,36,70.79993981
SCX,5/20/14,VFD,60,7.832394205
